nickname,total,continuity,order,wish
이쁜둥이미운둥이,31.0,31.0,105.90322580645162,돈 많이 벌게 해줘잉
요우무의유령검1,31.0,31.0,291.96774193548384,여기있는 소원들 전부 이루어지게 해주세요
그르다김가놈,31.0,31.0,14.161290322580646,출석!
awnfaiof,31.0,31.0,388.16129032258067,점점
몽쉘통통의고양이,31.0,31.0,31.70967741935484,행복한 주말
병건마미,31.0,31.0,53.0,취뽀취뽀
즐거운무의식,31.0,31.0,558.3548387096774,연락 오게 해주세요
매직박재성기사이즈킹,31.0,31.0,27.903225806451612,여자친구 생성 기원 28일차
옹골찬만두콘,31.0,31.0,44.25806451612903,침착맨 화이팅
HAERIN,31.0,31.0,3.935483870967742,"2023 아버지 경기도 무형 문화재,대한민국 명장 선정"
매곡리물주먹,31.0,31.0,296.96774193548384,로또
강동구물주먹,31.0,31.0,181.93548387096774,대기업 취뽀
