등수,게시자,내용,점수,연속,총 기도일 수
2018등,바로하모니카,모든소원아 이루어져라,5점,1일째,총31일
2017등,항문낭짜조,ㅇㅇ,5점,5일째,총31일
2016등,오늘도즐거운날입니다,돈맘ㅎ아지게헤주세요,5점,2일째,총32일
2015등,양말펄,이번 한해 잘보내기를,5점,1일째,총10일
2014등,김핸댕,성공하게 해주세요,5점,1일째,총4일
2013등,침싹맨,빚청산 해주세요,5점,1일째,총11일
2012등,태완씨족차맞고쓰러진침착맨,운동 열심히,5점,1일째,총28일
2011등,침시황,쏠로크리스마스 잘지냈잖어?,5점,1일째,총11일
2010등,침착하게낼름낼름,취업하게 해주시오,5점,1일째,총25일
2009등,썽큰04,그림 잘 그리게 해주삼~,5점,1일째,총19일
2008등,아기끼리코덤보,연애하고 시펑,5점,2일째,총17일
2007등,호러쇼,건강하세요,5점,1일째,총3일
2006등,원피스개혁안,내년엔 꼭 원하는 곳 원하는 직무로 취직하게 해주세요,5점,2일째,총34일
2005등,침투부수호자53호,메리 크리스마스!,5점,1일째,총27일
2004등,오링쥐모어쌍,돈줘,5점,3일째,총24일
2003등,베이비병건,침착맨 아조씨 메리 크리스마스,5점,14일째,총37일
2002등,호나유두,행복,5점,1일째,총17일
2001등,누군가는해야돼,행복,5점,1일째,총24일
2000등,침침침,2023 건강,5점,1일째,총14일
1999등,투실버윈,매일 그림,5점,2일째,총39일
1998등,이이이,최고민수 합방 기원,5점,13일째,총50일
1997등,10융융,내일은 닦고 또 닦고 똥 안 싸게 해주세요,5점,1일째,총12일
1996등,땡그르르,이삿짐 좀 싸주세요,5점,1일째,총6일
1995등,침껄껄껄,앞가림 잘하게 해주세요,5점,1일째,총16일
1994등,하이라ㅇㅣ트,행복,5점,1일째,총19일
1993등,옾카페시즌2,연봉아 올라라,5점,1일째,총15일
1992등,피깨피갯삑궷츢,여친 만들어줘잉~ 취업도 시켜줘잉,5점,1일째,총6일
1991등,오히려죻아,오늘도 아자아자,5점,2일째,총28일
1990등,밍키냥,다이어트,5점,3일째,총18일
1989등,너침착당한거야,대박나게 해주소서,5점,1일째,총21일
1988등,침순임,취업 다욧,5점,1일째,총26일
1987등,침며듦,침착맨 메리크리스마스,5점,1일째,총13일
1986등,왕십리로날아온편지,시험대박,5점,3일째,총31일
1985등,고맙잖슴,건강건강건강,5점,2일째,총20일
1984등,허짜장,공지,5점,1일째,총5일
1983등,아배고파,아자아자,5점,1일째,총18일
1982등,곧백수되는사람,모두 행복하길,5점,2일째,총12일
1981등,하리마오,주변에 사랑이 가득한 나날,5점,3일째,총32일
1980등,안경잡이,로또 1등 당첨,5점,2일째,총28일
1979등,돼뚱이,불노불사하게 해주세요,5점,1일째,총20일
1978등,꺽다리왕꺽츄,올리비아 핫세,5점,1일째,총34일
1977등,Calmdowngirl,그만 졸래요!,5점,1일째,총34일
1976등,끄리넥스,한양대 추합,5점,1일째,총2일
1975등,우르릉쾅,건강,5점,3일째,총25일
1974등,침착몬,취업,5점,3일째,총48일
1973등,미노mino,복근 생기게 해주세요,5점,1일째,총38일
1972등,궤도사령부말단,세계 평화,5점,1일째,총22일
1971등,팔팔팔,행복,5점,1일째,총29일
1970등,배배로,방학,5점,1일째,총17일
1969등,두근두근벤치프레스,잘되게해주세요,5점,1일째,총6일
1968등,딸기후라이드,개운하게해주세요,5점,1일째,총15일
1967등,뎨혜임,메리크리스마스,5점,1일째,총26일
1966등,웽글뮁글,침선생님 영접 기원,5점,4일째,총30일
1965등,방구공주님,20억 로또 당첨,5점,5일째,총26일
1964등,DEX,로또1등당첨되게해주세요,5점,1일째,총7일
1963등,짭짤한땅콩,행복,5점,7일째,총28일
1962등,패트와매트,로또 1등 당첨되게 해줘잉~,5점,3일째,총45일
1961등,적정제조기,감기 낫게 해주세요,5점,1일째,총14일
1960등,나는두콩,모두 건강하길!,5점,6일째,총44일
1959등,키자루,가족의행복,5점,1일째,총28일
1958등,히누히트,96시간아 빨리 지나가라,5점,17일째,총41일
1957등,ctree,가족들이 건강하길 빌어요,5점,3일째,총18일
1956등,조선상놈,고추 잘서게 해주세요,5점,7일째,총22일
1955등,라플리즈,깔깔,5점,1일째,총6일
1954등,수원청개구리,빵순이 잘되게 해주세요,5점,12일째,총38일
1953등,김공어찌하여목만오셨소,3대 500,5점,1일째,총5일
1952등,침착맨틀,서버비 1억 기원,5점,14일째,총38일
1951등,Eucalyptus,만수무강,5점,1일째,총2일
1950등,가니메데스,비나이다,5점,1일째,총26일
1949등,보약옥수수,울가족건강행복,5점,4일째,총30일
1948등,서서갈비,히히,5점,1일째,총28일
1947등,이시우라,코로나야 가라 재미없다,5점,1일째,총23일
1946등,목동다이옥신,기도,5점,52일째,총52일
1945등,할일을하자,일에 집중 빡 되게 해주세요,5점,4일째,총20일
1944등,주펄의비혼주의개그,로또 되게 해주세요,5점,1일째,총36일
1943등,구름이의모험,우리 가족 모두 행복하게 해주세요,5점,28일째,총50일
1942등,크레토스,이직 잘하게 해주세여,5점,2일째,총37일
1941등,브룸바,배위인 생사당 기원,5점,2일째,총17일
1940등,레게병건,이병건더니 닉네임 먹게해주세요,5점,1일째,총12일
1939등,침펄풍철단,^____________^,5점,48일째,총50일
1938등,땀나는침덩이,성장하며 지혜를 얻게 해주세요,5점,8일째,총38일
1937등,죠리퐁,즐거운 연말 보내게 해주세요,5점,3일째,총34일
1936등,정흠흠,취뽀,5점,43일째,총43일
1935등,먹틸리언,필승 가고시픈 학교 합격,5점,2일째,총29일
1934등,리엘으,ㅊㅊ,5점,1일째,총18일
1933등,신사90,토,5점,6일째,총39일
1932등,우원박외치는약대생,침착맨 사랑해 김풍 사랑해 주호민 사랑해 다들 사랑해,5점,5일째,총16일
1931등,침주착펄맨,출근하기 싫다,5점,2일째,총33일
1930등,성적취향까다로운주펄,제발 로또 1등 되게 해주세요,5점,1일째,총4일
1929등,삶은겨란,내일 연수 화이팅,5점,1일째,총10일
1928등,조짐성편두통,다음주도 후딱 잘 좋게 지나가게 해주세요.,5점,1일째,총11일
1927등,김뇸냠,행복하게 해주세요..,5점,1일째,총11일
1926등,병건아내가형이다,내일은 꼭 퇴근후에 공부 할 수 있기를,5점,1일째,총4일
1925등,댓글맨,우리 가족 안아프게 해줘라,5점,1일째,총15일
1924등,BiGmacS2,행복.,5점,12일째,총31일
1923등,침착한주호민달팽이,뭐야 오늘 크리스마스였네,5점,1일째,총15일
1922등,덜렁대는피깼츄,윤슬아 밥잘먹고 한달후에 수술 잘받자!,5점,3일째,총23일
1921등,개방장,🙏,5점,10일째,총47일
1920등,천수관음괴력몬,롴도,5점,1일째,총39일
1919등,월클맨,아잉,5점,2일째,총13일
1918등,이쁜둥이,건강하자 봄탱이,5점,10일째,총48일
1917등,미라클,행복,5점,1일째,총9일
1916등,맨날자부는사람,ㅂㄴㅇㄷ,5점,1일째,총20일
1915등,dipoi,얼렁뚱땅상점하고 꼴라보하게 해주세요,5점,1일째,총7일
1914등,피카추,행복하고 싶어요..,5점,1일째,총38일
1913등,야추일수도있지만아닐수도,로또1등 당첨 기원 16일차..?,5점,6일째,총34일
1912등,아니다황멍아,행복하게 연말 마무리 하게 해조잉,5점,1일째,총37일
1911등,남녀칠세마동석,메리클쓰마스,5점,3일째,총31일
1910등,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5점,6일째,총42일
1909등,그래비티캐논,메리 크리스마스,5점,1일째,총6일
1908등,한국인학생,아프지 않게 해주세요,5점,15일째,총48일
1907등,백열장,다친 손이 잘 나아서 백열장 쓰게 해주세요,5점,1일째,총32일
1906등,도토리수집가,행복,5점,1일째,총45일
1905등,김만도,출근시러,5점,5일째,총30일
1904등,서유기,링피트 하고 자게해주세요,5점,4일째,총43일
1903등,침린이,기도하자잉,5점,1일째,총6일
1902등,에디32,크리스마스 잘 마무리해요들,5점,1일째,총12일
1901등,MISFIT,TRPG 해줘잉,5점,1일째,총4일
1900등,청설모곳간,일과 사랑 두가지 토끼를 다 잡을 수 있도록 해주세요,5점,38일째,총50일
1899등,궤굽민수,만족하며사는삶,5점,22일째,총38일
1898등,오히려못참아,복아와라,5점,1일째,총44일
1897등,나랑같이걸을래,잘 지내길,5점,1일째,총25일
1896등,땨람쥐렸다,내일 헬스 가게해주새여,5점,1일째,총20일
1895등,까붕이,1919등 횐님의 소원을 들어주세요,5점,2일째,총28일
1894등,삐깨삐겟피캐쭈,20키로 감량,5점,1일째,총7일
1893등,정지궤도,소원,5점,2일째,총36일
1892등,늑대인간침투부요원,그림 잘그리게 해주세요,5점,1일째,총31일
1891등,이병건사랑해,그저행복,5점,3일째,총37일
1890등,뿌슝빠슝,행복,5점,4일째,총45일
1889등,낭심든든,연애를 시켜다오,5점,13일째,총41일
1888등,마회장,월요일 오지마라,5점,10일째,총40일
1887등,침주빠,내년엔 제발 통장에 1000만원 이상 모이게 해주세요,5점,1일째,총1일
1886등,이따올때차돌짬뽕,무사히집에갈수있게해주세요,5점,2일째,총39일
1885등,dIs,출근하기싫다...,5점,1일째,총5일
1884등,야생고양이,건강,5점,26일째,총41일
1883등,오징어,으악컄캬컄,5점,25일째,총51일
1882등,침지노,여자친구 생기게 해주세요,5점,1일째,총18일
1881등,포뇨포뇨포뇨아기말년이,좋은데로 취업하게해주세욘,5점,1일째,총25일
1880등,천재묘김레오,내년엔 원하는 대학 가게 해주세요,5점,1일째,총1일
1879등,호나우지뉴,건강하게 해주세요,5점,1일째,총20일
1878등,실망이,메리크리스마스,5점,2일째,총2일
1877등,커피베이,내년엔 더 잘되길,5점,1일째,총12일
1876등,혀이워느,로스쿨 추합 붙게 해주세요,5점,1일째,총15일
1875등,뚜벅초,소원,5점,2일째,총38일
