등수,게시자,내용,점수,연속,총 기도일 수
2094등,영웅호걸,연애하고싶다,5점,3일째,총4일
2093등,피자스티브,부자,5점,2일째,총8일
2092등,봇들의밤,오늘 하루도 잘 보내게 해주세요,5점,44일째,총44일
2091등,거절의가속도,다음주 입사인데 좋은분들 만나게해주세요,5점,3일째,총14일
2090등,고라니라고,열심히 살기,5점,2일째,총11일
2089등,침착한동년배,호응하응하응호응,5점,2일째,총21일
2088등,쿄쿄쿄,취업하게 해주세요,5점,3일째,총30일
2087등,김진사,노신경,5점,1일째,총16일
2086등,태완씨이것좀먹어봐유,치무차쿠맨 사랑해,5점,52일째,총52일
2085등,영공조GTA,자동 기도,5점,10일째,총36일
2084등,북극거주곰,여친 생기게 해주세요,5점,4일째,총12일
2083등,김똥꼬,어우 배고파,5점,10일째,총39일
2082등,으따맨,1억 갚고싶다,5점,2일째,총14일
2081등,mousi,행복!,5점,1일째,총28일
2080등,키로토콜,호캉스왔다 개좋다 연말이다,5점,1일째,총9일
2079등,초록맨,정시 합격하게 해주새요 제발,5점,1일째,총5일
2078등,싱싱참치,택배 빨리오게 해주세요,5점,1일째,총20일
2077등,Forran,프리랜서 두번재 브랜드 작업 성공하게 해주세요,5점,2일째,총42일
2076등,poemhoon,내년엔 정말 등단하게 해주세요..,5점,1일째,총6일
2075등,얶깨이,대 박 기 원,5점,1일째,총36일
2074등,안침착걸,침착맨 만나게 해주세요,5점,2일째,총43일
2073등,먹틸리언,행복하게해주세요,5점,2일째,총29일
2072등,꼬마돌,안녕하소~,5점,3일째,총40일
2071등,햄마와치,주식 그만 떨어지게 해주세요,5점,1일째,총7일
2070등,ORBIT,제발 억셉!!!,5점,1일째,총7일
2069등,켜털킹,침투부 올해 안에 2백만 가즈아,5점,1일째,총22일
2068등,정구지,대학 합격하게 해주세요 제 수준보다 높은 대학을 원해요,5점,1일째,총1일
2067등,침하하원로,모든 시험 합격,5점,4일째,총24일
2066등,침착챈,건재 합합,5점,2일째,총18일
2065등,논산해물칼국수,!!,5점,2일째,총7일
2064등,dogsound,합격,5점,1일째,총1일
2063등,방귀요정이병건,부자가 될 나야 우하하,5점,1일째,총22일
2062등,파파망고,오늘도 코니는 튼튼,5점,1일째,총24일
2061등,오밍이,냥냥,5점,7일째,총40일
2060등,유기물,행복하게해줘잉,5점,1일째,총26일
2059등,침착나라통닭공주,건강하게 해주세요,5점,1일째,총14일
2058등,솔로이길바래,2023 화이팅,5점,1일째,총36일
2057등,망상펭귄,침하하,5점,1일째,총32일
2056등,고목나무,실습화이팅ㅇ,5점,1일째,총4일
2055등,역촌동돌싱남,32년 모태솔로입니다. 연애하게 해주세요.,5점,2일째,총43일
2054등,난항상배고파,우리 여보 가게 대박나게 해주세요 11일차,5점,6일째,총23일
2053등,HZMM,wow,5점,1일째,총2일
2052등,방귀대장,웃을 수 있는 좋은 일,5점,11일째,총30일
2051등,인형머리전구,방 좀 좋은데로 빨리 구해져라,5점,1일째,총28일
2050등,Dvwn,도파민,5점,8일째,총24일
2049등,침착한샴푸뚜껑,들어줘잉 ◡̈ ,5점,2일째,총28일
2048등,참깨나라박참깨,성공하고돈많이벌게해주세요,5점,2일째,총21일
2047등,무승부로하지않을래,행복한 연말,5점,31일째,총38일
2046등,오히려못참아,😢,5점,1일째,총44일
2045등,무적세모입,부지런 갓생인간 기원,5점,1일째,총27일
2044등,침테잎,합격,5점,11일째,총42일
2043등,dlwlrma,잠,5점,2일째,총45일
2042등,침착하지만안침착한침착맨,감사하다,5점,2일째,총8일
2041등,대량구매,하는 일 잘 되게 해주세요,5점,1일째,총9일
2040등,미라클,행복,5점,1일째,총9일
2039등,거니거니당근당근,또또건강,5점,1일째,총44일
2038등,야옹이,굿밤,5점,1일째,총22일
2037등,품바왕,여자친구 사귀게해주세요,5점,4일째,총26일
2036등,주펄의비혼주의개그,로또 되게 해주세요 제발,5점,1일째,총36일
2035등,최유진,약속취소,5점,3일째,총33일
2034등,권하하,졸업하게 해주세요,5점,1일째,총29일
2033등,그냥임채현,모르겠다 나도,5점,5일째,총30일
2032등,침펄풍철단,^__________^,5점,48일째,총50일
2031등,고오앙,"하는 일, 연애, 가족 평안 모두 잘 되게 해주세요.",5점,7일째,총29일
2030등,원피스개혁안,내년엔 꼭 원하는 곳 원하는 직무로 취직하게 해주세요,5점,2일째,총34일
2029등,호민아포켓몬은있는거야,면접잘보게해줘요잉,5점,13일째,총29일
2028등,침며듦,감기 빨리 떨어져!!,5점,1일째,총13일
2027등,침착한웰시코기,즐거운 봄날이 찾아오길 바람,5점,3일째,총29일
2026등,킹병거니,오늘 소원을 빌었던가?,5점,1일째,총42일
2025등,진경산수화,건강하게 행복하게 침착하게,5점,7일째,총29일
2024등,호러쇼,건강하세요,5점,1일째,총3일
2023등,가위꺾어진,낼 일찍 끝나게 해주세용,5점,52일째,총52일
2022등,위험한자식이재희,건강하고돈많이벌게해주세요,5점,3일째,총21일
2021등,병건물주,잘 살게 해주세요,5점,1일째,총13일
2020등,라니린,일안하고 놀면서 살기,5점,1일째,총2일
2019등,킹냥이,행복을주세요,5점,44일째,총50일
2018등,킹트다갓트,균형잡기!,5점,1일째,총21일
2017등,고기망치,로또 즉시 당첨,5점,1일째,총14일
2016등,침순이밍G,이대로 무탈한 하루하루,5점,1일째,총19일
2015등,베개나라공주,행복,5점,7일째,총50일
2014등,이거완전이예준,오버워치 마스터가기,5점,1일째,총6일
2013등,Unbrokenheart,제발 최종합격..,5점,1일째,총9일
2012등,보약옥수수,합격,5점,4일째,총30일
2011등,김좀비,화이팅,5점,1일째,총1일
2010등,seeya,끊기있는 맘,5점,1일째,총18일
2009등,늑대인간침투부요원,그림 잘그리게 해주세요,5점,1일째,총31일
2008등,제로맥주,여자친구 시험 붙게 해주세요,5점,1일째,총4일
2007등,침착매놀그멍,청약당첨기원,5점,1일째,총21일
2006등,덴버껌,모두들 행복해져라,5점,1일째,총25일
2005등,침착맨암살자,모든 사람들이 안아프게 해주세요,5점,1일째,총4일
2004등,오크경훈,이게맞나,5점,1일째,총12일
2003등,돌도리,머리나게 해주세요 최대한 빨리,5점,1일째,총1일
2002등,Batu,2023 뭐든지 다 대박나자,5점,1일째,총6일
2001등,ㅇㅇㄱ,합격하자,5점,1일째,총33일
2000등,MISFIT,TRPG 해줘잉,5점,1일째,총4일
1999등,NMIXX릴리,하게 해주세요,5점,19일째,총34일
1998등,이이이,복학잘하기,5점,13일째,총50일
1997등,아니다황멍아,우리 가족 건강만 하자!!,5점,1일째,총37일
1996등,임다섯모,쓸쓸하지 않게 해주세요,5점,23일째,총35일
1995등,🤣침하하,오늘도 해피,5점,3일째,총27일
1994등,덩굼엉,무사완결,5점,1일째,총1일
1993등,Paleblue,행복하게 해주세요^*^,5점,1일째,총2일
1992등,그대안의프리에토,내일도 오기,5점,3일째,총40일
1991등,시작하는여행자여안녕,나는 바란다 퇴근하기를,5점,1일째,총20일
1990등,wasitacatisaw,기도 내리기,5점,28일째,총49일
1989등,무서운호빵맨,일찍 일어나게 해주세요,5점,5일째,총26일
1988등,쓸만한구쭈,숙면 취하고 싶다,5점,1일째,총18일
1987등,잇히히,ㅅㅅ,5점,1일째,총6일
1986등,버터링,행복,5점,27일째,총51일
1985등,외강내유형,로또1등,5점,8일째,총10일
1984등,감골맨,내일 안춥게 해주세요,5점,1일째,총6일
1983등,즐겨찾기,오랜만에 소원 빌러 왔습니다,5점,1일째,총15일
1982등,얼굴긴밥아저씨,2023에는 좋은 일만 가득하기를 기원합니다.,5점,1일째,총14일
1981등,헐마이오니,로또1등당첨되게해쥬십셔,5점,16일째,총45일
