등수,게시자,내용,점수,연속,총 기도일 수
1971등,노동왕김노동,32기 노무사 합격!,5점,10일째,총34일
1970등,시은희안,로또 1등 당첨,5점,5일째,총42일
1969등,재미없다염소야,오동협 여자친구 사귀게 해주세요,5점,1일째,총14일
1968등,침오냐,용돈줘잉,5점,1일째,총29일
1967등,chocobanana,나는 바란다!,5점,15일째,총24일
1966등,무친침덩이,중요한건 꺾이지 않는 마음,5점,4일째,총49일
1965등,대박라떼,행운을 보내주시고 운을 잡을 수 있게 해주세요🙏🏻,5점,1일째,총5일
1964등,Bourdieu,착하게 살게 해주세요,5점,1일째,총1일
1963등,다현히어로즈,논문쓰기싫어요 살려주세요,5점,1일째,총21일
1962등,이병건축학개론,짝남오빠랑 잘되게 해줘잉,5점,3일째,총28일
1961등,데미소다,취준 성공 토익 점수 990,5점,1일째,총10일
1960등,그렇게살지마시오,메가 밀리언 1등되게 해주세요,5점,1일째,총7일
1959등,코끼리,벼락부자,5점,5일째,총38일
1958등,펄요일조아,정시 대박 기원,5점,1일째,총1일
1957등,케이쒸,허이짜!,5점,3일째,총9일
1956등,김진사,말하고 살자,5점,1일째,총16일
1955등,외강내유형,로또1등,5점,8일째,총10일
1954등,박해수,언젠가 제 소원 이뤄주실거라 믿습니다,5점,1일째,총7일
1953등,쭈라면,여친 기원,5점,1일째,총4일
1952등,삼재야삼재,취업성공,5점,1일째,총32일
1951등,킹데마르갓작,운전면허 따기,5점,1일째,총1일
1950등,침착맨굿즈,이성 친구 사귀게 해주세요,5점,1일째,총30일
1949등,폴짝뛰기선수,김소영 사랑해,5점,31일째,총39일
1948등,중앙석전관리위원회,건강,5점,1일째,총36일
1947등,폴짝개구리,건강하게!,5점,2일째,총25일
1946등,정지궤도,서원,5점,2일째,총36일
1945등,망상펭귄,침하하,5점,1일째,총32일
1944등,BBaeKKi빼끼,빼끼,5점,25일째,총49일
1943등,침댕이,내년엔 아무일 없길,5점,1일째,총41일
1942등,제논의역설,여자친구 생기게 해주세요,5점,1일째,총3일
1941등,오이시러,복권 60억 당첨되게 해주세요,5점,1일째,총4일
1940등,히누히트,건강하게 잘 놀기,5점,17일째,총41일
1939등,서망고,가구 다 팔기,5점,1일째,총29일
1938등,침펄풍철단,^________^,5점,48일째,총50일
1937등,체리석류맛,내일 안 힘들게 해주세요,5점,1일째,총23일
1936등,침현빈,오빠 아프지말고 지금 당장 퇴근,5점,1일째,총4일
