등수,게시자,내용,점수,연속,총 기도일 수
3759등,가새꺾어진,job 잡아보자~,5점,4일째,총27일
3758등,재넌지원금,올해의 인물 우원박,5점,1일째,총3일
3757등,메탈기어솔의눈,합격 입사 근력강화,5점,36일째,총47일
3756등,배인소,사랑,5점,4일째,총4일
3755등,이안니,ㅠㅠ,5점,2일째,총2일
3754등,힘쎈소다맨,울엄마 아프지 않고 행복하면 좋겠어요.,5점,2일째,총18일
3753등,지미 버틀러,휴늦을뻔,5점,1일째,총18일
3752등,동그라미인간,무조건 행복하기!,5점,1일째,총18일
3751등,황제이병건,자동이요~,5점,2일째,총2일
3750등,영공조GTA,자동기도,5점,10일째,총36일
3749등,진도리,건강건강,5점,1일째,총16일
3748등,참룡객,건강,5점,23일째,총48일
3747등,평냉이,제발 행복하게 해주세요 ,5점,1일째,총14일
3746등,성장발육,토플 목표점수 달성이오,5점,1일째,총3일
3745등,꽃미남가면이병건마스크,행복하게 해주세요,5점,1일째,총33일
3744등,구구냥,위장에 편-안 을 선사해주소서,5점,1일째,총14일
3743등,Unbrokenheart,면접준비 열심히 하자,5점,1일째,총9일
3742등,더블비얀코,긔읭,5점,3일째,총29일
3741등,침침ㅁ침,쌍수 잘 되게 해주세요,5점,12일째,총36일
3740등,아델리핑구,들숨에 행복을 날숨에 재물을,5점,1일째,총14일
3739등,eathiw,합격,5점,1일째,총1일
3738등,냥냥쩝쩝,강철멘탈을 갖게 해주세요,5점,1일째,총7일
3737등,비에우,다이어트 0일차,5점,1일째,총7일
3736등,유주오빠,유주가 건강하고 행복하게 지낼 수 있도록 해 주세요,5점,22일째,총36일
3735등,위험한자식이병건,이직 성공 기도,5점,1일째,총23일
3734등,배우박정민,세계평화,5점,1일째,총21일
3733등,채여링,침착맨 금연성공,5점,1일째,총19일
3732등,꾸이맨,행복해져라~ 행복해져라~,5점,3일째,총46일
3731등,qazwsx,내일부터 공부 계획대로 하기 제발...,5점,1일째,총1일
3730등,행복망상개구리,행복하고싶어요,5점,2일째,총3일
3729등,침하하즉시가입,내일도 평화로운 하루 되게 해주세요,5점,1일째,총44일
3728등,zzuhaha,중요한 것부터 챙길줄 알기,5점,1일째,총7일
3727등,침소리이즈마이라잎,새 직장은 모난 동료 없이 무던하게 지내게 해주세요,5점,1일째,총24일
3726등,닭갈비와하루를,특기 총무 되게 해주세요,5점,1일째,총2일
3725등,마하하,히힛,5점,1일째,총11일
3724등,규장각,할머니랑 삼촌이 오래오래 사셨으면 좋겠다,5점,1일째,총10일
3723등,아이러브병건,시험 잘보게 해주세요,5점,4일째,총13일
3722등,상남자이세화,침착만 이모티콘 출시,5점,1일째,총11일
3721등,침펄풍철단,^_____________^,5점,48일째,총50일
3720등,Love,원하는대로,5점,1일째,총7일
3719등,바다고양이,일확천금,5점,7일째,총42일
3718등,조휘밥,기말 잘보게 해주세요,5점,2일째,총2일
3717등,낙하하는새벽,화이팅,5점,1일째,총4일
3716등,먹황새,세계정복,5점,52일째,총52일
3715등,저젤리가진짜라묜,화이팅,5점,16일째,총44일
3714등,불홀언더컷,순산하길,5점,2일째,총13일
3713등,권하하,졸업하게 해주세요,5점,1일째,총29일
3712등,침착맨과피크닉,침착맨 팬미팅 빠른 시일 내로 열어주세요,5점,1일째,총7일
3711등,축구천재이왕건,소화잘되게해주세요,5점,1일째,총7일
3710등,강폭풍,공부 집중 잘하기,5점,32일째,총51일
3709등,나훈아,기말 잘보기,5점,1일째,총8일
3708등,침뚜뿌,좋아요,5점,1일째,총1일
3707등,펄펄눈이옵니다,다들 건강하세요,5점,1일째,총8일
3706등,어랍쇼,개근하게 해주세요,5점,1일째,총2일
3705등,병앤건,ㅇㅈㅅㄹ,5점,1일째,총14일
3704등,딸기인간,걔도 저 좋아하게 해주세요,5점,1일째,총1일
3703등,어이구선생님들,눈이 펑펑 내리게 해주세요,5점,3일째,총35일
3702등,Ansan,A+ 제발,5점,1일째,총24일
3701등,뇌만두콘,발표 잘하게 해주세여,5점,3일째,총14일
3700등,민지짱,일안하고 먹고 살 수 있게 해주세요,5점,4일째,총28일
3699등,고오스,일좀들어오게해줘잉,5점,1일째,총31일
3698등,건국대,최선을 다하는 하루가 되게해주세요. ,5점,1일째,총21일
3697등,기뮤기뮤,가족 모두 건강하길,5점,1일째,총15일
3696등,나윤성우아니다,행복하게해주세요,5점,1일째,총1일
3695등,리시텔,위인 생사당 건립기원,5점,3일째,총3일
3694등,마라샹꿔바로우,오늘은 일찍 잘 수 있기를🙏,5점,1일째,총24일
3693등,쭈삼불고기,목돈들어오게 해주세요,5점,1일째,총27일
3692등,짜장불사,뚀이잉이잉이요이오이오이옹잉잉잉,5점,1일째,총12일
3691등,쫀드기개구리,개구ㅡㄹ,5점,1일째,총9일
3690등,공명의함정,로또야 이사가게 도와줘,5점,1일째,총11일
3689등,주부타이,난안져,5점,2일째,총20일
3688등,BiGmacS2,행복.,5점,12일째,총31일
3687등,성남광주흉합체,남은 연말 잘 끝내게 해주시고 열심히 공부하겠습니다,5점,1일째,총7일
3686등,삼재야삼재,취업성공,5점,1일째,총32일
3685등,침기덕쿵더러러러,횽들아 체크남방이 똑딱이면 이상한가요?,5점,1일째,총5일
3684등,스마일봉투,취업성공,5점,2일째,총2일
3683등,수정고드름,기도 까먹었다,5점,52일째,총52일
3682등,이병건조대,대학 합격,5점,9일째,총15일
3681등,궤도눈에박정민수,사랑합니다,5점,3일째,총4일
3680등,거북이형님,예뻐지게 해주세요,5점,1일째,총36일
3679등,어글리덕,소원 안빌고갓더니,5점,3일째,총8일
3678등,달래아빠,시험관 성공,5점,2일째,총24일
3677등,선우왕녀,로또 1등,5점,1일째,총22일
