nickname,total,continuity,order
ANSWER,31,31,935.1935483870968
책마니읽으시오,31,31,948.8387096774194
포도봉봉,31,31,950.9032258064516
다람쥐곶감,31,31,953.0645161290323
와퍼세트,31,31,954.3548387096774
아마궤돈,31,31,961.1935483870968
굿데이,31,31,964.8387096774194
가지가내밥,31,31,972.516129032258
아이디,31,31,979.5483870967741
육회비빔밥,31,31,987.0322580645161
우레레레,31,31,991.8387096774194
남궁춘자,31,31,996.0
야구왕이순철,31,31,1000.7741935483871
얼첩이다,31,31,1008.9677419354839
나는야스물둘,31,31,1016.2903225806451
및갗냄,31,31,1021.3548387096774
애새끼,31,31,1023.7741935483871
너도쫄병이냐,31,31,1028.516129032258
복재성,31,31,1029.3870967741937
따착고,31,31,1035.3870967741937
무뚱뚱씨,31,31,1036.516129032258
티모시샬라메정실부인,31,31,1046.225806451613
옾마니반메훔,31,31,1049.967741935484
알아보자,31,31,1052.483870967742
먹방의황제는이병건이오,31,31,1053.9354838709678
전무님,31,31,1061.0967741935483
조깐둥이,31,31,1064.9354838709678
쭈호민,31,31,1066.1612903225807
민트초코호빵,31,31,1067.1935483870968
음흉맨,31,31,1069.6451612903227
고비노비도비,31,31,1071.1290322580646
침멍이까와이,31,31,1072.0967741935483
아파요,31,31,1073.225806451613
페퍼민트S2,31,31,1080.5483870967741
검정치마,31,31,1087.2903225806451
순살인간,31,31,1087.9032258064517
이병건강냉이사이에낀김가루,31,31,1091.3225806451612
김장하는이쑤시개,31,31,1104.6451612903227
허풍개,31,31,1107.1612903225807
계말년,31,31,1111.1290322580646
침착한주펄님,31,31,1116.9354838709678
캄다운맨,31,31,1124.9032258064517
IZONE,31,31,1130.1612903225807
요우무의유령검1,31,31,1132.2903225806451
채유리,31,31,1134.483870967742
낼르미,31,31,1135.4193548387098
ㅁㄴㅇㄹ,31,31,1138.0645161290322
토착애국맨,31,31,1139.3870967741937
이말년침착맨이병건,31,31,1140.6129032258063
모든것의신침착맨,31,31,1145.4516129032259
침벙침벙,31,31,1151.774193548387
솔솔라라솔솔미,31,31,1152.0
권은비,31,31,1155.1290322580646
아카플러시,31,31,1163.516129032258
쭈리링,31,31,1163.8387096774193
SeoTaiJi,31,31,1170.741935483871
불타는차돌짬뽕,31,31,1173.4516129032259
떡잎마을방범대,31,31,1183.8387096774193
침착해,31,31,1186.8387096774193
무적무적열매,31,31,1188.1612903225807
머머리28,31,31,1193.0967741935483
침하하수호자,31,31,1198.6451612903227
이대영,31,31,1199.483870967742
동네모르는오빠,31,31,1200.5483870967741
매곡리물주먹,31,31,1202.1290322580646
온니유,31,31,1204.967741935484
더블쿼터파운더치즈버거,31,31,1208.5483870967741
이왕건나좋아,31,31,1214.3225806451612
연부장,31,31,1218.6451612903227
먹황새,31,31,1221.0967741935483
SyrupJar,31,31,1221.2903225806451
라떼☆,31,31,1227.225806451613
나민수올시다,31,31,1232.4193548387098
로붕이,31,31,1236.5806451612902
챼형원,31,31,1246.5806451612902
염소야가라재미있다,31,31,1246.7096774193549
브로콜리바구니,31,31,1248.1290322580646
아리사랑해요,31,31,1248.1935483870968
평경장,31,31,1251.1935483870968
쨔루티,31,31,1251.516129032258
덜침착,31,31,1255.8709677419354
막깔라,31,31,1256.967741935484
그거완전과학,31,31,1260.516129032258
침티에이,31,31,1264.1290322580646
아빠아직안잔다,31,31,1269.1935483870968
라그나후크,31,31,1273.032258064516
그건아마니잘못,31,31,1274.483870967742
도도리아,31,31,1274.6774193548388
김보통,31,31,1278.6129032258063
침펄풍팬임,31,31,1278.6129032258063
병건쮸,31,31,1280.6451612903227
카이사르,31,31,1288.3225806451612
쑥도령,31,31,1288.4516129032259
플라스틱뚝배기,31,31,1288.4516129032259
침공어찌하여머리만오셨소,31,31,1288.6774193548388
잠자리양,31,31,1292.8064516129032
우리원본박물관,31,31,1295.0645161290322
침유니버스,31,31,1303.1935483870968
정예타우렌족장,31,31,1309.8709677419354
침카페옾카페,31,31,1312.225806451613
봇들의밤,31,31,1314.483870967742
이달의소녀,31,31,1316.3870967741937
가위꺾어진,31,31,1321.3870967741937
뿌끼먼,31,31,1332.258064516129
마취없이발치하는박재성,31,31,1333.1612903225807
김학건,31,31,1351.5483870967741
조세호,31,31,1353.483870967742
취준생,31,31,1365.3870967741937
킹뚜껑,31,31,1372.967741935484
회계사,31,31,1385.0
우원박,31,31,1390.3870967741937
발랄하네,31,31,1396.032258064516
통천조아,31,31,1401.774193548387
선학동꿀주먹,31,31,1402.3870967741937
다신못볼유돈노,31,31,1445.3870967741937
유사과학박사,31,31,1447.6774193548388
침핳핳,31,31,1459.516129032258
오태식,31,31,1470.0
아서스,31,31,1472.967741935484
흑화맨,31,31,1478.1290322580646
말밥당근,31,31,1482.6774193548388
우니동,31,31,1484.3870967741937
ㅃ1께츢,31,31,1485.8387096774193
Calmdownman,31,31,1487.3870967741937
침하하핫,31,31,1521.1290322580646
오만둥이,31,31,1523.5483870967741
티즐피치우롱티,31,31,1525.3225806451612
🧆검은콩🧆,31,31,1530.3225806451612
두두두다루,31,31,1535.258064516129
칵스한사발,31,31,1539.225806451613
히오수왕,31,31,1543.0
mauve,31,31,1549.4193548387098
태완씨이것좀먹어봐유,31,31,1555.774193548387
이병스냅건,31,31,1556.1290322580646
TOY,31,31,1556.516129032258
우원박잘생김,31,31,1556.967741935484
나로호,31,31,1564.774193548387
갱얼쥐,31,31,1575.516129032258
화난전구,31,31,1577.1935483870968
체육볶음,31,31,1588.774193548387
쏘영이모,31,31,1609.225806451613
처절한왼손잡이김상룡,31,31,1612.1612903225807
호방하게칭제,31,31,1619.9354838709678
SUM,31,31,1625.8064516129032
슈뢰딩거의침냥이,31,31,1628.9032258064517
부영사랑으로,31,31,1637.8064516129032
초호민,31,31,1641.1612903225807
반반통닭천사,31,31,1648.4516129032259
악몽의융합체,31,31,1650.8387096774193
아즈몽가대왕,31,31,1698.5483870967741
도토리수집가,31,31,1720.0967741935483
연어팔,31,31,1732.967741935484
유버튼,31,31,1747.258064516129
pleaseKIM,31,31,1799.1612903225807
