nickname,total,continuity,order,wish
십장생,31,31,688.483870967742,여자친구 생기게 해주세요
베이가,31,31,690.3225806451613,10대 부자 되게해주세요
잘알려드립니다,31,31,695.0322580645161,추가 합격 해줘요 
가밀레,31,31,698.3870967741935,디로롱
라라피포,31,31,705.0645161290323,침덩이가 어제보다 1mm 더 자라게 해주세요.
사카키,31,31,707.5483870967741,아들 대학 합격하게 해주세요!
집착맨,31,31,707.5483870967741,ㅎㅎ
이병건과류,31,31,713.483870967742,비나이다 비나이다
오아시스,31,31,715.5806451612904,LIVE FOREVER
sungard,31,31,721.6774193548387,공부머리 자라나라
애기쏘영,31,31,739.8064516129032,1일 3운동! 목표한바를 이룰 수 있게!!!
보르조이,31,31,740.3225806451613,돈 많이 벌게 해주세요
FIESTA,31,31,741.8387096774194,아이즈원 다시 보고 싶습니다🙏
수정고드름,31,31,741.9032258064516,2022 잘가
도른자,31,31,744.741935483871,진도 더 나가게해주세여
침순잉,31,31,752.483870967742,세계최고의 아티스트가 되게 해주세요
침펄풍철단궤,31,31,756.7741935483871,이병건 행복하게 해주세요.
슬램덩크,31,31,757.258064516129,집중!!
이왕건그는신인가,31,31,766.2903225806451,와라 2023년아!
성이름,31,31,769.8387096774194,콩콩년 마지막날 보람차게 보내자
호들갑맨,31,31,771.0645161290323,강녕
황송한니보시씨,31,31,774.6451612903226,황송합니다.
우룰루루,31,31,776.6774193548387,마지막날!
만두콩,31,31,777.6129032258065,재회
우경김,31,31,780.6451612903226,보고싶다 현지야
라원애비,31,31,781.6774193548387,올해도 다들 수고하셨습니다
배고푸잖슴,31,31,783.84375,거창하지 말고 비장하지 말고 하루씩만 살자
세종머앟,31,31,786.9677419354839,내가 오늘 소원을 빌었던가?
우정맹,31,31,790.0322580645161,미래
이지동,31,31,790.5806451612904,'에이쁠'
나맹이,31,31,791.3225806451613,지금처럼만
짱구는목말라,31,31,792.0645161290323,2023 햅삐걸되기
ABC,31,31,796.0,봄
침착면요리후루룩,31,31,800.7741935483871,행복한 날이 되길!
Hyunsang,31,31,805.2258064516129,오늘도 행복하세요.
宮脇咲良,31,31,809.7741935483871,2022년 마지막 하루
BarcaFIFPro,31,31,814.516129032258,ㄱㄷ
NewJeans민지,31,31,815.4516129032259,
바닐라와플,31,31,818.3870967741935,마무리 잘 하게 해주세요
디낌이,31,31,819.2903225806451,고백 성공
또요용,31,31,823.4516129032259,울집 멍멍이 암재발없이 건강하게 오랫동안 살게해줘요
와장창,31,31,825.7741935483871,오늘 로또 단독 1등하게 해주세요!
치마하하,31,31,825.9354838709677,모두 올 해 마무리 잘하기를
깨쓰롸이팅,31,31,829.483870967742,풍월량님 메운디 깨게 해주세요.
아즈남,31,31,830.1612903225806,로또 당첨
오프라인,31,31,831.9032258064516,돈 사랑 장수 건강 축복
소설가0,31,31,832.0,편하고 합법적인 방법으로 돈 많이 벌게 해주세요
호호바,31,31,833.1935483870968,ㅊㅊ
코코삼촌,31,31,835.6129032258065,할머니 건강 기원
침착한이흥건,31,31,842.6129032258065,새해봇
시청자,31,31,851.258064516129,건강!
영공조진,31,31,854.7096774193549,로또1등되게해주세요
존롤존스스톤,31,31,872.483870967742,룰
호크아이슨배림,31,31,874.516129032258,살이 쪼옥 빠지고 매력적인 사람이 되게 해주소서
lhxnqy,31,31,877.4516129032259,1
골든너겟,31,31,886.0,행복하자
불만맨,31,31,888.0,프랭크 오션 앨범 기원
콘노크,31,31,888.2258064516129,여친생기게 해주세요!💑❤❤❤
침두쭈두야나두,31,31,890.0967741935484,마나 제발 대박
식칼이오,31,31,892.7096774193549,로또 1등 당첨
주먹왕랄부,31,31,898.1612903225806,건강과 평화
왈가놈,31,31,904.258064516129,좋은인생과 좋은하루
젓두잇,31,31,904.6774193548388,침버거
알제이,31,31,918.0645161290324,"끈기와 노력, 실천하는 인간이 되게 해주세요"
뼈치킨,31,31,918.8064516129032,새해에는 대박
몽키D두피,31,31,921.6129032258063,해적왕
KIN,31,31,923.7096774193548,취업하게 해주세요
박성화,31,31,927.8064516129032,행복했으면 좋겠어요
메로나,31,31,928.0645161290324,아무일 없길
해나래,31,31,930.4193548387096,취직시켜줘잉
작은앙마,31,31,932.0967741935484,좋은 사람
ANSWER,31,31,935.1935483870968,ㅊㅊ
책마니읽으시오,31,31,948.8387096774194,건강기원
포도봉봉,31,31,950.9032258064516,아듀 2022
다람쥐곶감,31,31,953.0645161290324,2차 잘보게 해줘잉
와퍼세트,31,31,954.3548387096774,31일도 행복하게 보내게 해주세요
아마궤돈,31,31,961.1935483870968,냥이들의 무병장수
굿데이,31,31,964.8387096774194,굿데이
가지가내밥,31,31,972.516129032258,건강
아이디,31,31,979.548387096774,22년 마무리 깔끔하게..ㅐ
육회비빔밥,31,31,987.032258064516,오늘 낮밤공 둘다 집중해서 대레전 찍고 올 수 있게 해
우레레레,31,31,991.8387096774194,훗!!
남궁춘자,31,31,996.0,돈 많이벌게 해주세요
야구왕이순철,31,31,1000.7741935483872,끼얏호
얼첩이다,31,31,1008.967741935484,행복하게 해주세요
나는야스물둘,31,31,1016.2903225806452,다 잘풀리도록
및갗냄,31,31,1021.3548387096774,고고
애새끼,31,31,1023.7741935483872,아버지 완쾌
너도쫄병이냐,31,31,1028.516129032258,한량의 삶
