number,nickname,wish,point,continuity,total
3039,중과부적,회식 무난히 보내게 해주세요,5,4,39
3038,통조림1순위김풍,잘 넘어가게 해주세요,5,7,27
3037,또요요용,막차,5,1,28
3036,오히려감사하다,내일이 행복하길,5,3,6
3035,똥쫄래미,올해 얼마 안남았지만 올해 이루려던 일 다 이뤄지길!,5,20,29
3034,침하하호호허허,취업할래요,5,2,6
3033,미쇼이,앙띠,5,1,2
3032,공명의함정,윗집이 빨리 지옥갔으면 좋겠어요 층간소음 너무 싫어,5,1,11
3031,라면인건가,하이,5,7,17
3030,치킨두마리,취업시켜주세요,5,2,7
3029,메리프,심신의 건강을 기원합니다,5,1,22
3028,흥미진진,큭,5,1,18
3027,할일을하자,내일 일찍 일어나게 해주세요,5,1,21
3026,깔라만시빠라뿔라,풍성풍성77,5,1,33
3025,이건아니잖슴,소개팅한 분과 잘되게 해주세요,5,1,12
3024,어쩌면나도꽤귀여울지도,우리 엄마랑 저 안전하고 건강하고 행복하게 해주세요.,5,3,3
3023,소원안들어주는돌,안들어줌,5,2,8
3022,wtl7xj,공익 시간 빨리 가게 해주세요!!!,5,3,4
3021,펄펄눈이옵니다,내여친예쁘다,5,1,8
3020,persue,돈 많이 벌게 해주시고 담주 시험 잘보게 해주세요,5,1,1
3019,진진자라,논문 승인 받게해주세요,5,3,12
3018,알보칠소믈리에,잘 살고 싶습니다,5,1,27
3017,침착한쭈꾸미,다이어트성공하게해주세요,5,1,34
3016,none,마음을 단단하게 해주세요,5,1,23
3015,신이나,내 친구 일본에서 편히 자게 해주세요,5,22,49
3014,한무궤도,행복하게해주세요,5,1,13
3013,위인배뚠뚠,중꺾마,5,1,29
3012,성장발육,내일은 러닝 꼭 할거에요..,5,1,3
3011,하이라ㅇㅣ트,낼아침일찍일어나게해즈세용,5,1,19
3010,miiiim,글영 기말 잘 하자,5,12,14
3009,히드라,당첨돠게해주세요,5,1,3
3008,침과밤낮,행벆,5,19,30
3007,침뽕맨,무사히 졸업할수있기를,5,1,28
3006,낭랑23세침순이,학점 잘받게 해주세요,5,2,13
3005,sujeong,내일은 부디 안아프게 해주세요,5,1,1
