number,nickname,wish,point,continuity,total
2497,라푼젤,이직,5,1,25
2496,으따맨,저는니먼쯜다오맨이되고싶어요,5,2,14
2495,이주원친구,돈 걱정 안하고 살기,5,3,31
2494,아수라,합격,5,7,45
2493,삐깟츄,이 행복이 영원히..,5,1,21
2492,몰랑츄,행복해지기,5,1,17
2491,쿄토벤,여친생기게해주세요,5,1,5
2490,우르릉쾅,뀈,5,3,25
2489,인싸가오리,내일 시험 백점 맞게 해주세여,5,1,9
2488,병드래건,플젝 성공적으로 마감하게 해주세요,5,1,2
2487,쭉쭊빵빵엉덩,건국대학교 가게해주세오,5,1,12
2486,애착맨,열정맨!!,5,1,8
2485,Heon,행복하게 해주세요,5,1,3
2484,노근born,토익 목표점수 달성,5,1,9
2483,양파링,취업소취 ,5,3,6
2482,츊하하,ㅎㅎ,5,1,2
2481,침착맨장재미슴,편입성공 하게해주세요,5,3,48
2480,아이묭,ㅇㅇ,5,5,33
2479,짬투부,방구 작작좀 나오게 해주세요,5,1,13
2478,아니다황멍아,2022년아 가라 재미없다~,5,1,37
2477,구구냥,마음의근심을덜어주세요,5,1,14
2476,단무지무친,불좀꺼주세용,5,1,9
2475,이윽고병건,내일 나랑 내 친구 둘 다 합격하게 해줘잉~,5,1,13
2474,침착반장,윤져합격기원,5,1,19
2473,노숙자납치범,했었나‘,5,3,29
2472,침상상,잘 살아보세,5,1,11
2471,참고문헌,논문정복,5,1,13
2470,계피분말,돈 들어오게 해줘요,5,3,33
2469,결명자차꼬소해,침하하,5,34,45
2468,침착맨천연샤워볼,침착맨 천연 샤워볼 굿즈 발매기원,5,1,1
2467,변경할수있는닉네임입니다,이사 문제 없이 잘 끝나게 해주세요.,5,1,6
2466,침펄풍철단,^____________^,5,49,51
2465,이이이,최고민수 합방 기원,5,14,51
2464,침착맨송곳니,여자친구 만들게 해주세요,5,1,4
2463,히히용트림발싸,끄어아,5,2,19
2462,자타공인빵순이,연봉 업해서 이직해줘잉,5,1,8
2461,이상해씨해상,주호민 기도 기원 1일차,5,3,30
2460,침침ㅁ침,하는 일 모두 잘 되게 해주세요,5,13,37
2459,좌붕알초우붕알풀,휴교해줘용,5,6,34
2458,침착하면손해봄,집에서 벗어나게 해줘잉,5,2,4
2457,모여봐요짐승의숲,가야할 길이 조금이라도 보였으면,5,1,14
2456,동그란펄,돈마니벌게 해줘잉,5,2,8
2455,모었앙,똑똑해지게해줭잉,5,9,36
2454,옾옾빤강남스타일,조아하는 사람이랑 밥먹게해줘잉,5,1,21
2453,복학복학생,네이버 클라우드 합격,5,2,27
2452,메멘토모리,Memento moris,5,1,26
2451,동마유시,내년은 재미 좀 보게해주세요.,5,1,1
2450,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5,6,42
2449,견적봐서미쳐라,해외취업하게해주세요,5,1,42
2448,매드사이언티스트,휘둘리지말기,5,1,8
2447,쿄쿄쿄,취뽀,5,4,31
2446,렛츠비누,후회 없기,5,1,7
2445,샤오팅,모동숲 사고 싶은데 살까요 말까요,5,5,13
2444,침하하마리,아바타 잘 보고올게여,5,1,20
2443,도토리수집가,행복,5,1,45
2442,지평좌표계,돈 많고 싶어요,5,1,7
2441,나는한국인,침하~,5,1,2
2440,요제프K,얍,5,1,1
