number,nickname,wish,point,continuity,total
2423,느아아아아악,로또 1등,5,1,14
2422,워너비무례맨,내일은 더 행복해지길,5,1,1
2421,아인슈타인,시험 잘보게 해주세요,5,1,24
2420,침하하하쏭,택배 받아야지 젭알...기다리는중,5,10,32
2419,피자스티브,부자되게해주세요,5,2,8
2418,빵빵걸,매장 옮기기,5,1,1
2417,침수한무,부자 되게 해주세요,5,3,27
2416,침덩이500배,만수무강하게 해 주세용,5,1,23
2415,침두부수호자,길게 말 안합니다. 내년에 이직 성공 기원합니다.,5,2,5
2414,안경잡이,숙대 추합 성공,5,1,29
2413,섭섭2,하는 일 미루지 않고 열심히 하게 해주세요,5,1,7
2412,hate,췌장이 나아서 세분 처럼 좋은 만화가가 되고 싶어요,5,2,6
2411,이말년삼국지,로또제발,5,1,27
2410,침착한웰시코기,즐거운 봄날이 찾아오길 바람,5,3,29
2409,silver,로또1등,5,5,24
2408,게시판이용자,다듀 지인,5,1,15
2407,침토스,로또1등되게해줘잉,5,1,8
2406,파파망고,코니야 오늘도 건강해,5,2,25
2405,미노mino,다이어트 성공 기원,5,1,38
2404,갈매기,🤞,5,14,36
2403,고양이에미친사람,3년 안에 빚 다 갚게 해주세요…,5,15,36
2402,쿼카인,제발 크리스마스때 여자랑 데이트하게 해주세요..,5,2,15
2401,2023CM,50조 원이 내 통장에 입금,5,1,11
2400,효민효민,행복해져라,5,1,3
2399,Soinbe,원하는 것 들어줘 제발,5,1,2
2398,남자레벨하하하,소원 비시는 분들의 소원이 이루어져라,5,1,4
2397,맛있는무말랭이,좋은사람이 되고싶어요,5,1,25
2396,츠드브,집에 보내주세요.,5,1,2
2395,코점이엉덩이,앞으로 일 잘풀리게 해주세여 ,5,1,4
2394,부소룡,펄이 빛나는 밤에 리부트,5,1,21
2393,하루에30분,잘되라잉,5,7,35
2392,고돌이,게임 출시 성공 기원!!,5,9,47
2391,견적봐서미쳐라,덱스터취업시켜조잉..,5,1,42
2390,이히히,제가 하는거 다 잘되게해주세요,5,1,8
2389,한국인이라면침투부봅시다,행복하구 건강하구 침착맨 오래 보게 해주세요,5,1,15
2388,거북이형님,예뻐지게 해주세요,5,1,36
2387,색소되어버린침착,기도,5,1,24
2386,데규르르,꽁돈,5,1,11
2385,나뭉구,로또 1등,5,1,17
2384,쭉쭊빵빵엉덩,건국대학교 가게 해주세오,5,1,12
2383,김똥꼬,시험 빨리 종강 빨리,5,12,41
2382,침소리이즈마이라잎,같이 일하게 될 사람들로부터 평화롭고 안정적이길,5,1,24
2381,네모세모,ㅎㅇ,5,1,25
2380,HarryPotter,건강,5,1,11
2379,침착맨x2,여친이랑 더 행복하게 살게 해주세요,5,1,3
2378,한국사람,눈길에 미끄러져서 다치는 사람 없게해주세요 ,5,1,7
2377,임쿼카,입시 합격해서 내년 행복한 유학생활 비나이다 비나이다.,5,1,36
2376,시러피하우스,침펄풍 시러피하우스 방문 기원,5,3,36
2375,병건운장,좋은일만 가득하길,5,3,31
2374,얶깨이,시즌 완판 기원,5,2,37
2373,진도리,건강,5,1,16
2372,갈치조림,굿~,5,1,7
2371,수원청개구리,시험합격,5,1,39
2370,침뽕맨,무사히 졸업할수있기를,5,1,28
2369,별수호자침착맨,다들 건강하고 행복한 일만 생기게 해주세요.,5,1,26
2368,진진자라지리지리자,올해 편입 성공,5,5,30
2367,우르릉쾅,뀨,5,3,25
2366,신장구,다음주 로또 우승,5,1,1
2365,ChadorJambong,여자친구생기게해주세요,5,3,49
2364,플래티,시험 잘치자,5,1,1
2363,개굴대는고양이,2363,5,1,17
2362,강된장비빔밥,추합 기원,5,2,13
2361,침펄풍철단,^____________________^,5,49,51
2360,난고조,엄마 아빠가 아프지 않게 해 주세요,5,1,19
2359,김간장새우,270 당첨되게 해주세요,5,1,38
2358,한손에총들고,이영아 사랑해,5,1,7
2357,왕침덩이,흠 합격 회사 합격,5,4,14
2356,아수라,합격,5,7,45
2355,침착군주,출첵,5,27,51
2354,침팬맨,행복,5,1,11
2353,쿼카콜라,야스,5,1,21
2352,아빠가힘쎄면부가세,이번 주 로또 1등 당첨,5,1,13
2351,그게돈이되나,오늘 하루도 무사하고 안전한 날이되길,5,1,29
2350,김중용,행복하게 해주세요,5,1,33
2349,Hello,Hello,5,2,31
2348,농부의근성,부자되게해주세요,5,1,1
2347,디케이,열공하자 살도빼자,5,1,23
2346,망상펭귄,ㅊㅎㅎ,5,1,32
2345,교촌치킨,오늘도 침착하게 해주세요,5,1,22
2344,쭈삼불고기,목돈들어오게 해주세요,5,1,27
2343,한국인조젼,로또 당첨되게 해주세요,5,5,32
2342,아싸삐리빠라뽀,잘잤다,5,3,12
2341,참치젤리,취업시켜줘아,5,4,19
2340,Mansing98,여자친구 생기게 해주세요.,5,5,27
2339,뚱땅이,행복하져라,5,7,43
2338,legol****,비나이다 비나이다,5,1,11
2337,치무챠쿠걸,재수 성공,5,1,45
2336,키요하루,평생 놀고 먹게 해주세요..,5,15,36
2335,하하베타,행복..,5,1,11
2334,나는두콩,모두 건강하길!,5,7,45
2333,몽실이돌격대,다정한근육남만나게해줘잉,5,5,41
2332,침수착민맨,합격줘잉,5,3,22
2331,해안짬타,배성재 위인님 그립습니다.,5,2,3
2330,lisshoman,학점 잘 받게 해주세요,5,1,14
2329,이이이,최고민수 합방 기원,5,14,51
2328,메탈도도새,좀 더 성실해지자,5,9,28
2327,곡소리,퇴사,5,1,3
2326,상큐엠,행복하게 해주세요,5,1,1
2325,미라클,행복,5,1,9
2324,도리도리팽도리,과외 잘 하게 해주세요,5,1,20
2323,트럼프,잘생겨지게 해주ㅏ요,5,1,14
2322,카더재혁,모두의 소원이 이루어지게 해주세요,5,1,33
2321,플라르고,로또당첨기도,5,1,12
2320,wally,사랑 건강 행복,5,13,47
2319,빠밤이,나랑 좀더 이야기 하다가 자자,5,1,31
2318,침쭈하,행복하게 해 주세요,5,6,21
2317,보약옥수수,우리가족건강,5,4,30
2316,트릴비,?,5,1,2
2315,이상적,합격,5,1,13
2314,침댕이,뽀레버 위켄ㄷ,5,1,41
2313,호에에엥,취업하게 해주세요,5,1,3
2312,춘천에서올라온기묭,자산증식,5,1,3
2311,왓어서프라이즈,크리스마스 토익900,5,1,11
2310,이불암산,경찰이 되어 나라에 이바지하고 싶습니다,5,14,45
2309,헤이멀룩일어나,,5,1,17
2308,복사붙여넣기,돈이여오라,5,2,35
2307,호이야,잠 푹 자고 싶어요,5,1,2
2306,이규홍,초등임용고시 합격,5,1,1
2305,GuJiJung,cc,5,1,13
2304,비빔밥국대학생,의지박약 벗어나기,5,1,2
2303,LBG,dd,5,1,4
2302,무친오히려조아,공시합격 기말 잘보기,5,1,22
2301,무하하,대학합격,5,1,7
2300,검은뱀,돈 돈 더 많은 돈,5,2,34
2299,dlwlrma,행복,5,2,45
2298,조짐성편두통,감기 안걸리게 해주세요. 걸려도 조금만 아프게 해주세요,5,1,11
2297,공명의함정,디딤돌대출 문제없이 잘되길......,5,1,11
2296,빠끄츢,D-24,5,1,22
2295,건축학도,596+,5,1,21
2294,도토리수집가,건강,5,1,45
2293,kom,로또 1등 당첨,5,5,40
2292,곤충채집소년,데드라인 안에 완성할 수 있게 해주세요.,5,1,1
2291,주정차단속중,시험 잘 보게 해주세요,5,1,1
2290,뚜라뚜스뚜라,시험 잘 보게 해주세요,5,1,1
2289,용네임,행복과 건강,5,19,30
2288,퀘콰로,날씨가 적당히 춥게 해주세요,5,9,49
2287,유사과학신봉자,여자친구랑 행복한 하루 보내게 해주세요.,5,1,20
2286,헤네시스XO,졸업,5,1,2
2285,곰탕젤리,행복 세계평화,5,2,6
2284,예의뿜뿜착맨,모든 일을 쉽게 가게 해주세요,5,4,18
2283,나류현준이올시다,너무 많이 잤잖슴...,5,1,24
2282,한방침착맨,건강!,5,1,3
2281,알자르타카르센,세특,5,1,6
2280,프리한삶,로또1등 당첨 기원!,5,2,24
2279,주호민병건풍기문란,행복하게 해줘잉,5,27,48
2278,네그게접니다,학점,5,1,7
2277,워스톰프,세계정복,5,1,14
2276,감기걸림,사면 당첨되게해줘요,5,2,8
2275,miiiim,공부 열심히 하자,5,12,14
2274,왜안댕미침,살빠지게해주세요,5,1,2
2273,희희침침,열공,5,1,20
2272,tkdrl,모두들 건강히 ,5,1,4
2271,침테잎,합격,5,11,42
2270,베라딘,건강하라,5,1,6
2269,쌉싸리다쓰,돈 많이벌게 해주세요,5,1,8
2268,백열장,다친 손이 잘 나아서 백열장 쓰게 해주세요,5,1,33
2267,일단침착해봐,이직 전까지 회사 안망하게 해주세요,5,39,39
2266,닉네임변경조조1893,c,5,29,50
2265,플러리,하스스톤 흥하게 해주세요,5,3,22
2264,정강환이다내가,침착맨 천만 구독자 기원합니다,5,7,35
2263,침착한쭈꾸미,다이어트성공하게해주세요,5,1,34
2262,쭈랑둥이,취업하게 해주세요,5,8,37
2261,쉬세요,건강건강!! ,5,4,13
2260,7498701653,건강만해라~!,5,1,2
2259,알파벳,여자친구생기게해주세요,5,2,31
2258,이게아이디인가,푹 자게 해 주세요,5,3,19
2257,침착한주호민달팽이,시험 잘 보게 해주소,5,1,15
2256,아안녕하세요,계절학기 괜히했네,5,26,51
2255,침착한나칭찬해,ㅆㅆ,5,1,12
2254,피카추,늘 우울함 ㅠ,5,1,38
2253,뚜벅초,ㅎㅎ,5,2,38
2252,Ozilien,시험 합격 기원,5,1,9
2251,자이자이자식아,행복한 연애하게 해주세여,5,1,29
2250,매일매일기다리는,한화우승,5,1,17
2249,rock,찍맞,5,2,22
2248,균침하하,집 가고 싶어~,5,1,8
2247,즉시이병건,기도~~,5,1,14
2246,안녕난민이라고해,군생활 잘하게 해주세요,5,1,2
2245,으랏차차돌박이,내일도 운동할 수 있게해주삼~,5,3,4
2244,꾸룩꾸룩,건강하자,5,2,9
2243,침착맨의마스터피스침하하,좋은일생기게해주세요,5,1,30
2242,연어맨,눈이 빨리 녹게 해주세요,5,2,23
2241,힙합전사설운도,주말 멈춰,5,1,20
2240,씁멸치,그분과잘되길,5,1,3
2239,배유기,연애랑 이직 ㅠ,5,6,15
2238,배옥자,모두 건강하게 해주세여,5,2,33
2237,어찌라긔,다이어트,5,1,10
2236,치미치미뱅뱅,돌하,5,1,31
2235,야자수123,부자되게 해주세요,5,1,1
2234,Arsenal,가족건강!,5,1,22
2233,이겜하지마야옹,로.또.당.첨.,5,1,1
2232,아무로토오루,돈들어오게해주세요,5,1,15
2231,쫄병김유훈,행복한 인생 살게 해주세요,5,1,2
2230,장PD83,우리가족 항상 건강하길,5,1,40
2229,뇌만두된거야,무사히 종강하게 해주세요,5,1,3
2228,일자인대,우리 엄마 최고,5,1,2
2227,자라돔건빵포,ㅎㅇ,5,1,5
2226,Ansan,잘 살고 싶어요,5,1,24
2225,17살달건이곽철용, ,5,1,2
2224,장국영,여자친구 생기게 해주세요,5,1,20
2223,청규울,건강,5,5,34
2222,침햫하하,엄마랑 동생의 싸움이 멈추기를 화합의 가족이 되기를,5,1,1
2221,채린이가차린챌린저,내 셋째 동생 대상포진 낫게 해주세요,5,1,29
2220,채여링,침착맨 금연성공,5,1,19
2219,신콩칩,망했어,5,1,19
2218,군자동풀린개,친목금지 나는 실,5,1,24
2217,가니메데스,비나이다,5,1,26
2216,레어닉, ,5,1,28
2215,삐원이,꿈과 사랑이 이뤄지길,5,1,1
2214,캄다운대학생,성적잘주세요,5,2,3
2213,하루산책4번,하는 일 잘 되게 해주세요,5,1,2
2212,언데드성기삽니다,롯데 우승,5,1,38
2211,yyoonn,침착해지게 해주세요,5,1,1
2210,치무차쿠만상,행,5,1,6
2209,구르는굼벵이,추워요. 안얼게 해주세요.,5,2,12
2208,침부투,꿈이뤄지게 해줘요,5,4,15
2207,별내동주민,23 CPA 합격👊,5,2,44
2206,피캐쮸,코로나완치,5,1,9
2205,침하요,감기낫게해주세요,5,1,20
2204,매운거못먹는사람,퇴사... 그리고 이직..,5,2,10
2203,SOL,출chek,5,4,43
2202,맨두콘,감기 조심하세연,5,1,4
2201,땀쟁이싫어,운동하러 가게 해주세요,5,1,2
2200,POLO,도로로롱~,5,3,36
2199,매초풍,여친 생기게 해주세요,5,33,38
2198,킹크록,10연 컴플리트,5,5,43
2197,삐깨삐갯삐캐쮸,내가 좋아하는 사람도 날 좋아해주길,5,1,4
2196,비타루,기도기도,5,1,28
2195,풍하하하하하하하하하하하하,사랑합시다,5,1,12
2194,재용리,돈많이 벌게 해주세요~~,5,4,47
2193,곰돌슨,규리,5,1,32
2192,침도도,세형아 결혼하자,5,3,13
2191,뽀로롤롱,동생정신차리게해주세요,5,21,45
2190,나르는거북,🙏비나이다 비나이다🙏,5,3,39
2189,왈컹멍낑,마음의평화,5,1,13
2188,프로하스카,돌,5,1,14
2187,서진아빠,우리 서진이 건강하고 모두에게 따뜻한 겨울이 되기를~,5,11,46
2186,이우빈,살빠지게해주세용,5,4,30
2185,임꺽정은꺽꺽,약대합격,5,22,35
2184,고구마언덕,감기낫게 해주세요,5,10,36
2183,킹뚜껑,횐님들 소원 이루어지게 해주세요,5,52,52
2182,집에못가는사람,집에 가고 싶다,5,41,45
2181,알거있잖아,처음왔습니다 내일도 오게 해주세요,5,1,1
2180,홈런볼빠다냥,부자되게해주세요,5,1,1
2179,Mephisto,빵상,5,1,1
2178,다현히어로즈,논문쓰기싫어요 살려주세요,5,1,21
2177,농부의근심,비나이다 비나이다,5,1,3
2176,ㅊㅣㅁㅍㅓㄹㅍㅜㅇ,감사합니다,5,1,32
2175,균하히하하,나를 사랑할 수 있기를,5,3,31
2174,모든팀의팀장김태완,흐으음,5,1,24
2173,챼형원,매일 더 나은 사람이 될 수 있도록,5,1,43
2172,개방장,🙏🙏🙏,5,11,48
2171,어쩔방구,ㅈㅂㄷㅇㅇ,5,1,3
2170,삐빅맨,여자친구,5,3,33
2169,궤소리집어쳐,경찰 시험 붙게 해주세요,5,1,2
2168,아새기맨,돈까스먹고싶다,5,1,21
2167,음악다방,많은 시간을 갖게 해주세요,5,1,26
2166,쏘영무술10단,갑자기 논문이 잘써지면 좋겠어,5,2,20
2165,치마하하,로또 1등!,5,53,53
2164,대전너굴맨,학점 4.3 맞게 해주세요,5,1,10
2163,미안해,침하하야 메이플스토리를 구원해줘!!!!!,5,1,15
2162,침펄풍이,옾 시즌3 ,5,1,17
2161,luv,뉴진스 만나고싶다!!,5,10,40
2160,지성박매직박우원박렛츠고,5,5,18,26
2159,더이상멘사가아니게된다고,좋은 사람 만나게 해주세요,5,1,14
2158,DC김유식,나 유식 침하하 점령하러 옴,5,1,3
2157,안녕하쇼,소원의돌과 영리메의 결탁 조사,5,1,21
2156,침펄풍기주팬,배가 낫게 해주세요,5,1,1
2155,삼괴권고수,로또되게 해주세요,5,1,28
2154,이왕건나좋아,수능대박,5,1,46
2153,침핫핫쏘오스,가족들이 건강하게해주세요.,5,2,7
2152,기린새끼,주식 오르게 해주세요,5,1,21
2151,침착한편식가,공부좀 하자,5,1,18
2150,호동이,시험 화이팅,5,1,10
2149,침투부수호자53호,치킨이 먹고싶어요,5,1,27
2148,인자강,재밌는 한해 마무리 부탁드립니다!,5,1,14
2147,글쟁이,살찌지마라~,5,1,14
2146,주호민숭맨숭,내가 좋아하는 사람이 날 좋아하게 해주세요,5,12,35
2145,참이슬,전과성공,5,1,13
2144,침하하크하하,살빠지게해주세요,5,5,7
2143,개굴반장,주식대박,5,1,35
2142,아자뵤,엄마안아프게해주세요,5,52,52
2141,루이비통,아바타2 존잼,5,9,49
2140,WBWS,주식대박,5,2,3
2139,촴하하,주말아 가지마라 재미없다~,5,1,8
2138,딩가딩가,건강과 화목,5,1,3
2137,침착한병건,대학교 예비 붙게 해주세요,5,12,41
2136,째깐둥e,취업하게해주세요,5,1,10
2135,유서카,로또 당첨~,5,1,1
2134,금연맨,부자되게 해주세여,5,1,14
2133,베개나라수학자,안 심심하게 해주세요,5,1,9
2132,침감쟈,오빠 지갑 찾았어요! 대박 소원의 돌 ㄹㅇ임 제가 인증,5,7,38
2131,이뮥수,앨리스 초대석 한번 더 해줘잉,5,9,42
2130,KDB,ㅂㅇㅍㅅ 켜라 선주놈들아,5,21,41
2129,메탈기어솔의눈,합격 입사 근력강화,5,37,48
2128,비난함,세계평화,5,6,15
2127,얼첩이다,제발 프로젝트 성공하게 해주세요,5,49,51
2126,보호민,남은 올해도 무탈하게,5,1,8
