number,nickname,wish,point,continuity,total
5346,예절맨,평온기원,0,13,39
5345,이병건엉덩이,죽을 용기를 주세요 제발,0,1,7
5344,라무진,대한민국 화이팅 16강 가자,0,2,4
5343,곰바라기,로또 1등 되게 해주세요,0,25,43
5342,통대창,오늘도 모두모두 행복하게 해주세요 ,0,1,9
5341,양꼬치,우리 멍멍이들 건강하자,0,2,12
5340,두부두분,띠리링,0,3,3
5339,두부순두부,건강,0,1,1
5338,바른자세맑은마음,사랑합시다,0,1,2
5337,침이침챔이,일좀 술술풀리게 해줘잉,0,1,1
5336,맛있는귤귤,건강,0,1,28
5335,키키케이크,운동 안하고 살빠지게 해주세요,0,1,2
5334,밍글라바,포르투갈전 승리,0,1,17
5333,왕침덩이,회사 합격,0,4,14
5332,비둘기,건강합시다,0,1,33
5331,궤도전차,한국이 16강 가길 바랍니다,0,1,1
5330,hutdool,울고 싶지 않아요,0,9,43
5329,이경연,미적분 A+ 받게 해주세요,0,1,1
5328,계란반숙,2022월드컵 대한민국 우승,0,3,3
5327,흰둥아돌아와,포르투갈 이기게 해주세요,0,1,3
5326,호동이,민영이 토익 잘 보게 해주세요🙏,0,1,10
5325,침착하자,우리가족 건강하게해주세요!,0,1,3
5324,거리의예술가,오디션 합격 기원,0,1,2
5323,포카콜라,가자 대한민국이 이긴다,0,1,13
5322,이병건조대,대학 합격,0,9,15
5321,프라다,연 금 복 권 1 등 기 원,0,1,3
5320,GuJiJung,e,0,1,13
5319,구쭈쭈우쭈쭈,동생놈 2합 13 합격 기원,0,2,3
5318,아수라,포르투갈전 승리!!,0,7,45
5317,암흑물질,제발 이기자ㅠ,0,4,4
5316,침정치국장,자격증취득,0,1,2
5315,홍로코,소설 꾸준하게 써보자,0,1,1
5314,돌원숭이,호날두가 자살고,0,1,3
5313,벌꿀오쏘리,벌꿀벌꿀,0,1,3
5312,힘빠진새끼고양이,토익 850점 나오게 해주세잉,0,4,6
5311,치킨먹자햇짜나,다이어트 성공기원,0,1,2
5310,미안미안해,오늘도 출석합니다,0,2,3
5309,침칙먠,올해 임용시험 1차 2차 모두 합격하게 해주세요,0,1,1
5308,즐거움,느려,0,2,6
5307,최대한,16강가자ㅏㅏㅏㅏ,0,1,5
5306,침피오카펄추가,한국이 포르투갈 2점차 이상으로 이기게 해주세요,0,1,20
5305,침부투,중꺽마!,0,4,15
5304,여러분허리를펴요,7시간 걸리는 과제가 3시간만에 끝나게 해주세요,0,3,3
5303,원조침순이,은근 귀차나,0,1,2
5302,록시미굴디아,꿈에서 록시 만나게 해주세요,0,1,1
5301,로ㄷ로ㄷ,내일 열리는 축구 한국이 이기게 해주세용,0,2,2
5300,침착침,행복,0,4,34
5299,주호호,행복하게 해주세요,0,1,1
5298,창억호박돌,내일 술 취하지 않게 마시게 해주세오,0,1,1
5297,퍼도서관,돈 많이 벌게 해주세요,0,1,1
5296,돼지바,munancho,0,1,1
5295,도토리임돠,오늘 축구 우승,0,2,2
5294,안산킹,다이어트 저축,0,1,1
5293,유인나,로또 당첨 가즈아~,0,1,6
