number,nickname,wish,point,continuity,total
1971,노동왕김노동,32기 노무사 합격!,5,11,35
1970,시은희안,로또 1등 당첨,5,6,43
1969,재미없다염소야,오동협 여자친구 사귀게 해주세요,5,1,14
1968,침오냐,용돈줘잉,5,1,29
1967,chocobanana,나는 바란다!,5,16,25
1966,무친침덩이,중요한건 꺾이지 않는 마음,5,5,50
1965,대박라떼,행운을 보내주시고 운을 잡을 수 있게 해주세요🙏🏻,5,1,5
1964,Bourdieu,착하게 살게 해주세요,5,1,2
1963,다현히어로즈,논문쓰기싫어요 살려주세요,5,1,21
1962,이병건축학개론,짝남오빠랑 잘되게 해줘잉,5,4,29
1961,데미소다,취준 성공 토익 점수 990,5,1,10
1960,그렇게살지마시오,메가 밀리언 1등되게 해주세요,5,1,8
1959,코끼리,벼락부자,5,5,38
1958,펄요일조아,정시 대박 기원,5,1,1
1957,케이쒸,허이짜!,5,3,9
1956,김진사,말하고 살자,5,1,17
1955,외강내유형,로또1등,5,8,10
1954,박해수,언젠가 제 소원 이뤄주실거라 믿습니다,5,1,7
1953,쭈라면,여친 기원,5,1,4
1952,삼재야삼재,취업성공,5,1,32
1951,킹데마르갓작,운전면허 따기,5,1,1
1950,침착맨굿즈,이성 친구 사귀게 해주세요,5,1,30
1949,폴짝뛰기선수,김소영 사랑해,5,32,40
1948,중앙석전관리위원회,건강,5,1,36
1947,폴짝개구리,건강하게!,5,2,25
1946,정지궤도,서원,5,2,36
1945,망상펭귄,침하하,5,1,32
1944,BBaeKKi빼끼,빼끼,5,26,50
1943,침댕이,내년엔 아무일 없길,5,1,41
1942,제논의역설,여자친구 생기게 해주세요,5,1,3
1941,오이시러,복권 60억 당첨되게 해주세요,5,1,4
1940,히누히트,건강하게 잘 놀기,5,17,41
1939,서망고,가구 다 팔기,5,1,30
1938,침펄풍철단,^________^,5,49,51
1937,체리석류맛,내일 안 힘들게 해주세요,5,1,23
1936,침현빈,오빠 아프지말고 지금 당장 퇴근,5,1,4
1935,이중호,노력한만큼 결과를 이룰 수 있길,5,2,22
1934,단팥빵,자식건강,5,3,4
1933,디케이,합격하자!,5,1,23
1932,서플라이어,퇴사하게 해주세요,5,1,6
1931,시청자,내친구 주식대박!!,5,50,50
1930,역촌동돌싱남,32년 모태솔로입니다. 연애하게 해주세요.,5,3,44
1929,도요새와까치,합격....제발..!,5,1,2
1928,알머리박치기,무탈한 하루,5,1,17
1927,침수착민맨,최종 합격줘잉,5,3,22
1926,관우맨,2023년 대박,5,6,34
1925,침착한리병건,흐흐,5,1,3
1924,침포리아,2023년 대박,5,1,23
1923,우발적침청자,기도,5,12,36
1922,ㅇㄷㅇㄷㅇㄷ,모두의 사랑과 희망을,5,1,1
1921,아기이병건,운수대통,5,1,3
1920,무하하,대학합격,5,1,7
1919,볼기큰사춘기,로또 1등 시켜줘잉,5,2,30
1918,회갱1,모두 행복했으면 좋겠습니다,5,2,30
1917,우룰루루,🙏🙏,5,53,53
1916,COOR함이란,근로감독 조사관 징계넣는거 성공하게 해주세요,5,1,21
1915,우무문어,여자친구 생기게 해주세요,5,1,27
1914,불만맨,프랭크 오션 앨범 기원,5,46,46
1913,주선이,교수님 미쳤냐? 미쳐라~,5,2,46
1912,베이비병건,내일도 행복하길 !,5,14,37
1911,고오미이,올해마지막 날까지 사고없이 잘 보내게해해주세요 ,5,1,9
1910,개방장,🙏,5,10,47
1909,나는두콩,모두 건강하길!,5,6,44
1908,도니누나,새해 복 많이 받자!!,5,1,6
1907,Noist,다들 올 한해 잘 마무리하시고 내년에는 더 잘될겁니다~,5,1,2
1906,dinggo,가족 건강 기원,5,1,31
1905,드뤄갔어요,배성재 ,5,1,2
1904,먹방의황제는침착맨이오,오늘 면접 본 곳 꼭 붙게 해주세요를레히,5,1,1
1903,그냥임채현,건강하기,5,1,31
1902,빠른손,ㅁㄴㅇㄹ,5,1,25
1901,빡침펄,내일도 무사히,5,4,24
1900,장두러,상처받지않게해주세요,5,3,29
1899,여차려차,내일 나가기 싫어요,5,40,41
1898,이우빈,올 한해 잘 마무리하고,5,4,30
1897,침허허,나처럼 살지마시오,5,2,33
1896,알아보자,🙏,5,1,41
1895,시애틀민수,건강하게 해주세요,5,1,19
1894,킹뚜껑,횐님들 소원 이루어지게 해주세요,5,51,51
1893,서진아빠,우리 서진이 건강하고 마나님 다이어트 성공하게 해주세요,5,11,46
1892,이더리움,ㄴㅇㄹ,5,53,53
1891,오징어,흐으으으응,5,25,51
1890,와샌즈!,평화!,5,1,46
1889,다비치,ㅊㅎ,5,21,36
1888,호카손쟈,헉 오늘거 까먹을뻔,5,2,34
1887,불홀언더컷,조안이 집에서 잘 지내보자!,5,2,13
1886,나민수올시다,아~ 행복하고 싶다~,5,52,52
1885,군자동풀린개,어제 눈왔드라,5,2,23
1884,배고파이잉,나는 너 좋아하면 안되냐?,5,3,19
1883,베개나라공주,러브,5,7,50
1882,침요정구지,돈많은 백수하게해주세요,5,1,1
1881,러I벨,건강한 삶,5,1,12
1880,IZONE,취업기원,5,4,52
1879,설거지뒤졌다,취업하고싶어요,5,2,3
1878,우주공장안주인,닉곧내,5,6,23
1877,프로미스나인,즐거운 연말,5,2,37
1876,Kosmos,행복,5,7,46
1875,나옹이,7777,5,1,24
1874,12월25일,로또되게 해주쇼,5,1,5
1873,신사90,당,5,6,39
1872,가루삼겹살통조림,잘래요,5,1,35
1871,펄하하하하,새해복많이받아요,5,1,7
1870,통천민수,좋아하는일찾고 부자되게해주세요,5,13,21
1869,건전한침청자1205,위인님 그 곳에선 안녕하십니까,5,38,49
1868,침유유,송이 건송이 건강하길,5,3,41
1867,조리돌림,1월까지만 버티게 해주세용,5,1,15
1866,공장장은아니고,기도함,5,41,44
1865,KDB,ㅇ,5,20,40
1864,마이클콜리오네,그녀가 보고싶어요,5,29,31
1863,모ㅇㅓ쌍,인생 편하게 살고 싶어요,5,3,9
1862,견적봐서미쳐라,먹을거레 돈 안아낄수있길..,5,1,42
1861,개냥이,새해 좋은일만,5,2,30
1860,호주민수,나를 좀더 알게 해주세요,5,1,2
1859,컴픆ㅌr,침하,5,1,14
1858,태완씨족차맞고쓰러진침착맨,운동 열심히,5,1,28
1857,DOHE,조용히...,5,3,19
1856,침하하정회원,나이안먹게해즈세요,5,2,14
1855,궤굽민수,만족하며사는삶,5,22,38
1854,몽실몽실해,오늘도 목표를 이룰 수 있기를,5,1,18
1853,샤란타,좋은곳에 취업하게 해주세요,5,1,1
1852,시공의폭풍야옹,일확천금,5,1,6
1851,poooky,제발,5,1,6
1850,삶은겨란,실수하지 말자,5,1,10
1849,거북이형님,예뻐지게 해주세요,5,1,36
1848,스티밍,최종합격,5,2,33
1847,안침착걸,존잘맨관람,5,3,44
1846,연애하고싶어,행복. 고통. 책임. 겁.,5,9,48
1845,병건나라호민공주,합격하게해주세요,5,1,24
1844,딜량도르,포기하지 않게 해주세요,5,1,4
1843,miha,내일 로또 1등 되게 해주세요!,5,1,1
1842,프로타스파,복권 1등 당첨되게 해주세요,5,1,13
1841,말코로이수,행복하자,5,22,23
1840,뭉클3895,2023년에는 여자친구도 생기고 빚도 갚게 해주세요 ,5,1,10
1839,바다고양이,일확천금,5,8,43
1838,병건자치구기강담당,논문 쓰게 해주세요,5,1,34
1837,봉미선,수리수리마수리,5,3,38
1836,그대안의프리에토,내일도 오기,5,3,40
1835,한국인학생,아프지 않게 해주세요,5,17,50
1834,옾조디아,손목 낫게 해주세요,5,1,41
1833,옆집아는동생,로또1등,5,41,46
1832,쿄쿄쿄,취업하게 해주세요,5,3,30
1831,이상해풀,전역,5,2,20
1830,윤지렁이,오늘 아침에 면접본 알바 붙게 해주세요,5,2,2
1829,달마시안,내일 칼퇴하고싶어요,5,6,21
1828,뉴진스국힙원탑,돈 많이벌게 해주세요,5,3,26
1827,힘빠진박복달,성실한 사람이 될 수 있게 해주세요,5,1,16
1826,잉클링,쑥과 마늘,5,6,28
1825,침좋은놈,합격시켜준김에 장학금도주세요,5,1,8
1824,졸린곰,로또 1등 되라,5,4,20
1823,침착한쭈꾸미,다이어트성공하게해주세요,5,1,34
1822,빠이구,나도 성과급 받고싶다,5,4,48
1821,개부자,월급 올려줘잉,5,1,9
1820,열정맨,열정,5,20,34
1819,침착맨궁둥이,이번에 취업하게 해주세요 제발요!,5,1,14
