number,nickname,wish,point,continuity,total
2042,아델리핑구,들숨에 행복을 날숨에 재물을,5,1,14
2041,나랑같이걸을래,하고싶은거 다하길,5,1,25
2040,아임블랑,주식 대박,5,1,3
2039,아배고파,제발 가즈아,5,1,18
2038,허허허,.,5,1,20
2037,계말년,다 헤어졌으면,5,1,47
2036,째깐둥이1,졸려잉,5,3,34
2035,항문낭짜조,해피크리스마스,5,5,31
2034,이이이,최고민수 합방 기원,5,14,51
2033,김공어찌하여목만오셨소,여자친구랑 안싸우개 해주세요,5,1,6
2032,뿌잉찐,몰루,5,5,37
2031,벨코즈초무침,God show me the eay,5,2,11
2030,곰바라기,로또 1등 되게 해주세요,5,25,43
2029,무케케,크리스마스 10등 안에 소원의 돌 쓸 수 있을까요.,5,2,13
2028,이병건데기,돈,5,4,30
2027,팀버튼,야옹야옹,5,1,27
2026,먹방의황제는이병건이오,로또1등아 와라~,5,53,53
2025,촴하하,주말아가지마라 재미없다,5,1,8
2024,소소한마지막,행복한 삶이 되기를,5,3,15
2023,퀘이보,생일축하해,5,14,34
2022,가밀레,돈줭,5,8,52
2021,침하핰,행복멜크,5,1,36
2020,김두치,엄준식 화이팅,5,4,5
2019,페더스,부자,5,26,31
2018,쿠우쿠우,코코,5,4,20
2017,고파서,메리,5,1,1
2016,딧뚜행님,메리크리스마스~~~,5,12,39
2015,종종이,메리크리스마스 횐님들!,5,1,6
2014,아조씨가조아,메리 크리스마스!,5,1,39
2013,비강세모음,메리크리스마스,5,1,16
2012,침공어찌하여목만오셨소,.,5,35,48
2011,침벙침벙,메리크리스마스,5,1,48
2010,내일은챰피온,로또 1등 가즈아,5,35,43
2009,지포스익스피리언스,세계평화,5,3,3
2008,중앙석전관리위원회,건강,5,1,36
2007,두껍착맨,내년에는 혼자가 아니게 해줘요,5,1,14
2006,지성박매직박우원박렛츠고,우원박과 만나기,5,18,26
2005,한대말아줘,2023 평안하고 깊은 한해가 되길 좋은 결과🙏,5,18,19
2004,칭찬민수,메리크리스마스 다들 행복하세요,5,1,10
2003,고담시티,행복하길,5,1,25
2002,구의동칸쵸,좋은 꿈 꾸길,5,1,43
2001,꼬마자객,복권1등당첨기원,5,1,39
2000,semi,부자,5,2,7
1999,마회장,매깨고,5,10,40
1998,오소리감튀,행복,5,1,2
1997,권하하,졸업하게 해주세요,5,1,29
1996,나르는거북,🙏🏼비나이다 비나이다🙏🏼,5,3,39
1995,침무새,마음이 꺽기지 않게 해주세요,5,1,8
1994,줍줍가게,줍줍가게 연매출 10억 달성,5,6,42
1993,Dog,여친생기게해줘.,5,1,18
1992,머그샷,세계평화,5,2,7
1991,바위너구리,차서영이랑 결혼하게 해주세요,5,1,7
1990,🤣침하하,메리크리스마스,5,3,27
1989,요구르팅,합격감사합니다 여자칭구 생기게해주세요,5,4,35
1988,상대편,건강해져라~건강해져라~,5,29,38
1987,v9a4oo,윤아랑 사귀게 해주세요,5,1,14
1986,조깐둥이,우리 강아지 안아프고 오래 살게 해주세요. ,5,1,40
1985,역병왕유비,제발 ! ,5,28,33
1984,핑크베놈,합격하게 해주세용,5,1,15
1983,탄동동,대박,5,1,1
1982,아하하,숨 잘 쉬고 건강하게 해주세요.,5,1,26
1981,뎨혜임,까먹을뻔,5,1,26
1980,이르맹,와이프랑 칼로 물베기 화해했어요 감사합니다,5,1,10
1979,휙휙♥,멜크,5,29,50
1978,견적봐서미쳐라,부지런,5,1,42
1977,아빠가된일진짱,멜크❤️,5,12,32
1976,신정동드록바,우리 가족 행복하게 살았으면,5,1,4
1975,레알마드리드,123,5,1,48
1974,엥조엥,여친 생기게 해줘잉,5,3,35
1973,털실빵실빵댕이,안아프고 빨리 낫게 해주세요,5,1,34
1972,침펄풍철단,^_____________^,5,49,51
1971,dinggo,마음이 건강해지게 해주세요.,5,1,31
1970,주호민숭맨숭,내가 좋아하는 사람이 날 좋아하게 해주세요,5,12,35
1969,뭉사장,심신안정,5,2,6
1968,민첩한하루,건강,5,1,9
1967,토제니,건강,5,1,11
1966,아인슈타인,토익 잘치게 해주세요,5,1,24
1965,내이름은이민웅,"다음 크리스마스는 혼자가 아니길 해주세요.,,",5,1,2
1964,초코비원샷하기,로또 1등 당첨!!,5,1,5
1963,볼드체,ㅁㅔ리 크리스마스~,5,1,1
1962,침수착민맨,임용합굑,5,3,22
1961,혹꾸아이슨배림,내일 안힘들길 ,5,11,41
1960,삐깻츄,서울대서양화합격!!,5,1,2
1959,쫄깃쫄깃,2024 임용 합격,5,1,5
1958,말랑촉촉우유식빵,또 다른 날 이 친구들과 재회할 수 있길,5,2,8
1957,토마토맨,국시합격,5,2,9
1956,김만도,♡,5,5,30
1955,랑구스,메리 크리스마스!,5,1,3
1954,김후루꾸,건강과 평화,5,1,36
1953,위험한자식이재희,건강하고돈많이벌게해주세요,5,4,22
1952,침착한털보,로또 1등 젭알!!!!,5,1,23
1951,유륜전차,재 수 성 공,5,1,8
1950,제네랄와스테,멜 크,5,2,14
1949,말년병건침착하게,행복한 연말!,5,1,14
1948,나옹이,11111,5,1,24
1947,단군이좋군,행복한 솔로 크리스마스,5,16,48
1946,카든가더,메리크리스마스,5,2,7
1945,펄하하하하,잘자요,5,1,7
1944,19XX,인생날먹,5,2,30
1943,킹냥이,행복을주세요,5,45,51
1942,비타루,메리크리스마스~,5,1,28
1941,칡이귀엽네요,세계평화 ,5,15,27
1940,아차차,건강하자잉,5,3,31
1939,진경산수화,건강하게 행복하게 침착하게,5,8,30
1938,히누히트,눈 와라 눈!!,5,17,41
1937,침착맨침착맨,로또 1등,5,53,53
1936,궤도이탈자,무사여행!,5,1,8
1935,rlaalstlr0312,행복하게 해주세여,5,1,18
1934,삿포로,저를좋아하게해주세요,5,2,5
1933,침침침침침침침침침침침침침,침착맨 서버비 화이팅,5,2,36
1932,가위꺾어진,코로나랑 독감 빨리 낫게 해주세요,5,53,53
1931,꼬마돌,2023년에는 행한 일만 있게 해주세요.,5,3,40
1930,퀘콰로,잡생각 많이 하지 않게 해주세요,5,9,49
1929,길도랑,메리메리,5,1,8
1928,tripleS,트리플에스 대박나길,5,22,22
1927,패트와매트,로또 1등 당첨되게 해줘잉,5,1,46
1926,잉클링,밥조,5,6,28
1925,풍하하하하하하하하하하하하,사랑해!,5,1,12
1924,GuJiJung,침하,5,1,13
1923,이말년침착맨이병건,메리크리스마스 ,5,9,51
1922,조현민,🙏,5,1,7
1921,또용용용,로또 1등 되어 은퇴 할 수 있게 해주오,5,5,28
1920,부럽지가않아,잘자기,5,1,14
1919,병거니까와잉,이대리뽑고싶다,5,1,4
1918,석전프로게이머,건강,5,1,36
1917,오장원,로또,5,1,13
1916,거울속의이치,엄마가 행복하면 좋겠어요,5,1,1
1915,침버거중독자,사업성공,5,9,13
1914,댄져러스독감자,모두들 행복한 크리스마스 보내게 해주세요!,5,2,13
1913,좌절하지않는조홍,,5,39,39
1912,ypa,일확천금,5,2,9
1911,과천수호자,모두 메리크~~,5,1,29
1910,대량구매,하는 일 잘 되게 해주세요,5,1,9
1909,칵스한사발,매니매니머니,5,1,51
1908,조예진,좋은 사람들과 좋은 인연 많이 만났으면 좋겠습니다,5,1,22
1907,유종애비,뭐 똑같은 하루잖아?,5,2,13
1906,닉네임변경야채,재미있는 글이 많이 올라오는 침하하,5,8,40
1905,Mansing98,여자친구 생기게 해주세요.,5,5,27
1904,파랑파랑, 내년에는 사람 구실 할 수 있기를 ~4일~,5,2,34
1903,덴버껌,메리 크리스마스,5,1,25
1902,개노그램,행복하세요,5,2,28
1901,좁밥개구리,고려대기계과 합격기원,5,1,23
1900,만두콘,올바른 선택을 할 수 있도록 도와주십시오,5,1,25
1899,dongeun,아프지말자,5,1,1
1898,가짜침착맨,변호사시험 합격,5,4,48
1897,이쁜둥잉,우리 가족 모두 건강하게 잘 지내게 해주세요,5,4,45
1896,안산물주먹,메리 크리스마스 입니다. 내년에도 무탈하게 해주세요.,5,5,7
1895,뭐시중요해,즐거우세요,5,1,39
1894,존프루시안테,평화,5,13,32
1893,호떡이,갑작스럽게 부자되게 해주세요,5,1,13
1892,딸기메로나,비나이다,5,1,18
1891,상해치사죄,로또1등 로또1등,5,1,26
1890,홍시농장,메리크리스마스,5,5,47
1889,침착몬,합격,5,4,49
1888,달려라23학번,동국대 합격을 원합니다,5,1,12
1887,푸르르륵,클쭈마쭈,5,1,3
1886,장료벌레,서른 두 번만,5,1,52
1885,봇들의밤,오늘 하루도 잘 보내게 해주세요,5,45,45
1884,뜨어억,메리크리스마스!,5,4,32
1883,오피서,행복한 연말,5,1,13
1882,버거킹이좋아,영웅,5,1,1
1881,밤하늘에퍼어얼,메리크리스마슈,5,4,14
1880,만하하하,이빨 안아프게 해주세요,5,1,15
1879,비둘기치킨,여자친구,5,2,16
1878,심술둥이,돈 많이 벌게해주세요,5,1,25
1877,Baby10,호로록,5,1,1
1876,개방장,🙏,5,11,48
1875,라디바디바립,만나게 해주세영,5,39,45
1874,이병쫄병건,공부잘하게해주세요,5,3,40
1873,잼잼이,다음 해는 좀 행복해졌으면 좋겠다,5,1,1
1872,타카기양,건강 건강 건강,5,1,1
1871,구글군,부모님이 이사하는 집에서 행복하게 해주세요,5,2,22
1870,침티모,경륜이집에 산타할아버지 오게해주세요,5,5,33
1869,내꿈은침수자지,행복한 크리스마스 되게 해주세요~,5,2,16
1868,오징어,ㅁㄹㅋㄽㅁㅅ,5,25,51
1867,베르린,바른자세맑은정신,5,41,41
1866,털다발,인스타 1만 팔로워 유튜브 1천 구독자,5,2,19
1865,오늘도즐거운날입니다,돈많아지게해주세요,5,2,32
1864,민트초코호빵,메리크리스마스,5,6,52
1863,그렇게얘기하면할말이없어,메리메리메리메리메리메리,5,1,18
1862,지각맨,ㅎㅎ,5,18,45
1861,렵니까,메크이브,5,1,29
1860,보약옥수수,우리가족행복건강,5,4,30
1859,통천민수,좋아하는일찾고 부자되게해주세요,5,13,21
1858,사2커,행복하고싶어요,5,1,26
1857,애기댕댕이,마음이 평화롭게 해주세요,5,2,18
1856,지더쿠,메리크리스마스!,5,1,44
1855,제갈량마눌,공무원 합격!,5,1,11
1854,나는아름다운나비치과,침하하하,5,3,42
1853,수원청개구리,시험합격,5,1,39
1852,Seorae,메리크리스마스,5,19,42
1851,침허허,나처럼 살지마시오,5,3,34
1850,하음루이맘,로또되게 해주세요,5,1,16
1849,빠른손,니똥굵다,5,1,25
1848,가나다라마밥뭇나,대학합격기원,5,2,13
1847,이우빈,살빼줘잉,5,4,30
