등수,게시자,내용,점수,연속,총 기도일 수
2307등,오호홓핳히힣,이 곳을 자꾸 까먹는다. 앞으로 공부 더 집중하자.,0점,1일째,총6일
2306등,이집트,23년 더워지기전까지 달순수익천만원!,0점,11일째,총13일
2305등,SMILE,건강하자,0점,1일째,총4일
2304등,침착한호들갑,우리 남편 코로나로 많이 아프지 않기를…,0점,1일째,총10일
2303등,김지충,퇴사,0점,1일째,총12일
2302등,올빼미,승 가자,0점,1일째,총2일
2301등,서진아빠,모두 행복하게 해주세요,0점,11일째,총46일
2300등,딸기맛도토리,결승골,0점,1일째,총7일
2299등,오타니,홍익대 붙게 해주세요,0점,1일째,총24일
2298등,사백사,건강하길,0점,1일째,총31일
2297등,후추먹은오병건,침하2,0점,2일째,총2일
2296등,찹쌀떡햄찌,축구 이기게 해주세용,0점,2일째,총9일
2295등,무야쟈키무야호,내일 일터에 오꾸가 들이닥쳐서 다 뿌셨으면,0점,2일째,총14일
2294등,베개나라일꾼,한국 이겨라!!!,0점,1일째,총15일
2293등,촉나라의유산,잘 잘자게 해주세요,0점,1일째,총47일
2292등,염소야가라,로 또 1 등,0점,1일째,총8일
2291등,침하하균하하,또잉??,0점,1일째,총2일
2290등,미침사랑,시험 잘 보고 싶어요,0점,1일째,총19일
2289등,이병건이왜진,으라차차자신감,0점,3일째,총5일
2288등,위험힌자식이병건,데뷔,0점,1일째,총3일
2287등,러럴러럴러,합격,0점,1일째,총3일
2286등,올시다,행복 건강,0점,1일째,총4일
2285등,가오리,기도,0점,2일째,총5일
2284등,연어팔,평화를 빕니다,0점,53일째,총53일
2283등,핵가족,기도 확보하기,0점,2일째,총2일
2282등,가시아방국수,무난히 이번 프로젝트 잘 지나가게 해주세요,0점,1일째,총1일
2281등,삶이감사하다,외조부모님 엄마 모두 건강 되찾으시고 가세좀 세워줘잉,0점,1일째,총1일
2280등,파래김,부모님 건강,0점,1일째,총27일
2279등,하잇!,후반전도 ㅎㅇㅌ,0점,2일째,총2일
2278등,병건스냅,오늘 이긴다,0점,14일째,총29일
2277등,호크아이슨배임,모든 일이 잘 풀리기를!,0점,9일째,총50일
2276등,나의수염이라도주고파,여자친구 생기게 해주세요,0점,2일째,총5일
2275등,커여운말리부,재밌게 살게 해주세요,0점,1일째,총1일
2274등,삼괴권따다닥,2273등,0점,1일째,총6일
2273등,침착한상자맨,행복하고 즐겁고 재밌게 살 수 있음 좋겠어요,0점,1일째,총5일
2272등,침하하하하하,승,0점,4일째,총4일
2271등,한무궤도,행복하게해주세요,0점,1일째,총13일
2270등,춤추는물범,업계짱,0점,2일째,총2일
2269등,재수강은방학때,내일 코드 돌아가게 해주시고 한국 축구 이기게 해주세요,0점,1일째,총7일
2268등,삼국지,건강하게 해주세오,0점,1일째,총7일
2267등,명검도도가마루,축구 이기게 해주세요,0점,2일째,총2일
2266등,포동포동쿤,대한민국 파이팅,0점,1일째,총22일
2265등,병건나라호민공주,합격하게해주세요,0점,1일째,총24일
2264등,복날의햅쌀,세계평화,0점,14일째,총20일
2263등,침침침침침,성공하자,0점,1일째,총1일
2262등,책상은책상이다,합 격 기 원,0점,4일째,총49일
2261등,이병건,침착맨 금연,0점,1일째,총16일
2260등,뭉뭉이,ㅌ뭉이 칼퇴 기원,0점,3일째,총4일
2259등,침냥2,축구 이기자,0점,53일째,총53일
2258등,라무진,제발 축구 이겨라,0점,2일째,총4일
2257등,siro217,축구 이겨라 꼭,0점,1일째,총4일
2256등,냥냥이,축구 이기게,0점,2일째,총2일
2255등,침궤도,힘내자,0점,8일째,총48일
