number,nickname,wish,point,continuity,total
2100,호슨배임,취업 성공하게 해주세요,5,2,23
2099,딧뚜행님,마음이 따뜻한 사람이 되고싶어요~,5,24,51
2098,침착착침침,롯 데 우 승,5,1,8
2097,휙휙♥,침하하,5,41,62
2096,서유기,나 스스로를 지킬 수 있는 삶을 살고싶어요.,5,2,47
2095,침요일,새해복,5,1,2
2094,무서운고양이,여자친구란 항상 행복하게 해주세요,5,2,21
2093,침착맨삼국지완전판,조회수 2천만 되게 해주세요,5,3,59
2092,인형머리전구,반품되라,5,1,32
2091,도토리수집가,건강,5,1,46
2090,chimsuni,논문쓰게해주세용,5,1,18
2089,침착한웰시코기,사랑해요,5,5,38
2088,행복한소시지,자격증 시험 합격하게 해주세요,5,2,3
2087,품바왕,여자친구 사귀게해주세요,5,2,35
2086,고기동휘파람,부자되기,5,1,2
2085,수원청개구리,시험합격,5,1,46
2084,이하륵,피부 좋아지게 해주세요,5,1,10
2083,노숙자납치범,할룽,5,2,32
2082,강윤숙,콥링엄,5,1,57
2081,박살공주,행복,5,8,22
2080,하나두,침착맨 만나고 싶어요,5,7,31
2079,쨰깐둥이,테슬라 그만 떨어져,5,1,44
2078,이설휘,반짝반짝 빛나는 사람이 되고싶어요.,5,2,36
2077,가나돌,건강합시다,5,6,18
2076,동해 ,좋은하루되세요,5,2,39
2075,침펄풍기,오늘도 고생했다,5,1,32
2074,김탱구,ㅊㅊ,5,8,41
2073,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5,2,51
2072,지옥의마라샹궈,겨울방학갓생성공,5,1,9
2071,패트와매트,로또 1등 당첨되게 해줘잉,5,1,50
2070,오호홓햄빠끄세트,짱,5,1,18
2069,로나로나땅땅,취뽀 아자아잣,5,1,8
2068,라따구리,🙏🏻,5,18,51
2067,엑스맨,오독완(3/2),5,22,22
2066,쭈꾸민,글씨 색칠한거 킹받지 않게 해주소서 에이맨,5,3,3
2065,자타공인빵순이,주변의 자존감 낮은 이들에게 상처 받거나 흔들리지 않길,5,1,10
2064,침댕이,내일은 운동 가자,5,1,41
2063,zangc,졸지 않고 건강하게 웃으면서,5,2,12
2062,말랑침덩이,7,5,1,50
2061,베이비,자고싶을 때 잠에 들 수 있게 해주세요,5,1,1
2060,병꺼니,행복하길,5,6,32
2059,하리마오,주변에 사랑이 가득한 나날,5,8,42
2058,알락꼬리여우원숭이,침하하건강,5,1,56
2057,영공조GTA,자동기도,5,3,46
2056,감염된SCV,"탈모해결, 침펄건강",5,9,55
2055,문도박사,yu,5,1,7
2054,돌숭이구름은,취업시켜주세요,5,1,31
2053,불암산,하하호호,5,1,9
2052,김간장새우,당첨 부탁드립니당,5,1,43
2051,알보칠소믈리에,싶습니다.,5,1,27
2050,싸응베,내일 아르바이트 첫날인데 완전 꿀알바였음 좋겠어요.,5,1,8
2049,브이넥에어로빅아조씨,건강 로또,5,6,49
2048,괜찮은문어빵,부지런해지기,5,1,7
2047,침소리이즈마이라잎,같이 놀고 술먹고 놀러갈 정도로 친해지고싶어잉,5,1,24
2046,침착한털보,로또 1등 젭알!!!!,5,1,23
2045,이왕건병건,여자친구 생기게 해줘잉 ,5,1,53
2044,줘육볶음,헐 어제 기도 했나?,5,2,47
2043,주펄정수리닦개,공황과 번아웃에서 벗어나 어서 하루빨리 원고를..,5,16,34
2042,힙냥이,로또 1등 당첨되게 해주세요,5,2,36
2041,엑설런트,로또 1등 당첨,5,1,1
2040,불만맨,프랭크 오션 앨범 기원,5,2,57
2039,뿌리채소,대학 합격 기원,5,2,2
2038,호로롤로로롤,오운오ㅜㄴ,5,2,39
2037,침펄풍철단,^___________^,5,62,64
2036,허대리,세계평화,5,2,8
2035,칵스한사발,매니매니머니,5,1,53
2034,일진걸,행복한한해가되게해주새요,5,2,20
2033,김똥꼬,ㅐ고프다,5,24,53
2032,크러드구이,취미로 만드는 게임 완성할 수 있게 해주시옵소서,5,2,33
