number,nickname,wish,point,continuity,total
1930,착한정식님,사람들 소원 다 똑같구나,5,2,3
1929,2만조,연금복권1등당첨,5,4,6
1928,팀버튼,야옹,5,1,27
1927,어푸푸하하,여자친구 생기게 해주세요,5,5,39
1926,부자애옹이,저희 또또 입맛 좀 찾아서 잘 먹게 부탁드립니다 ,5,2,31
1925,침아저씨,살빠지고 취업 자격증합격,5,1,25
1924,김대실,ㅎㅇ,5,3,22
1923,나라는신이존재,세계평화,5,8,37
1922,침펄풍철단,^________^,5,49,51
1921,Kosmos,제발취업,5,7,46
1920,영공조GTA,자동기도,5,11,37
1919,곰잡은넘,오늘도 무사히…,5,13,17
1918,샤이침착쓰,행복해지기를,5,4,33
1917,성남사는마이콜,아침까지 일 다하게 해주세요,5,2,2
1916,MyaRee,고맙다 방장,5,1,9
1915,안침착걸,침착맨 편집자,5,4,45
1914,균하하하,강화성공,5,1,5
1913,비비디바비디뿌,취업기원,5,17,35
1912,알레한드로도서관,운전면허 실기 1트 성공,5,1,1
1911,치약맨,하고싶은거 하길,5,1,20
1910,우쥬라이크헤이러탑,여자,5,9,37
1909,유기물,오랭만,5,1,26
1908,인팁INTP,개근상,5,4,14
1907,용산9층,오늘너무열심히살았다,5,8,19
1906,딧뚜행님,마음이 따뜻한 사람이 되고싶어요~,5,12,39
1905,견적봐서미쳐라,요새 잘 못들어와서 속상해잉,5,1,42
1904,용완님,종준이 행복하게 해주세여]',5,1,1
1903,김카이,즉시 트래픽 부담,5,46,46
1902,캐스퍼송씨,연애하게 해주세요,5,1,1
1901,송도돌격대,출산휴가 화이팅!!!,5,1,35
1900,애새끼맨,오늘은 안까먹었냐?,5,2,39
1899,주펄을줘패버리는침착맨,공모전 성공적으로 마치게 해주세요,5,3,6
1898,가루삼겹살통조림,졸음을 참고싶어요,5,1,36
1897,알락꼬리여우원숭이,침하하 서버비 절감 기원,5,1,46
1896,침반펄반,다 잘풀리게,5,1,2
1895,중복된닉네임,출첵을 계속 깜빡해요,5,3,45
