number,nickname,wish,point,continuity,total
1982,딧뚜행님,변함없는 행복,5,12,39
1981,산토끼,건강하고 행복하자!!,5,7,34
1980,처절한왼손잡이김상룡,내가 만난 모든 사람들이 행복했으면 좋겠네요,5,1,47
1979,호민아포켓몬은있는거야,네오플최종합격하게해주세요!,5,1,30
1978,댓글맨,우리 가족 안아프게 해줘라,5,1,15
1977,이뮥수,앨리스 대박나게 해쥬세요,5,9,42
1976,수부타이,호옹이,5,4,40
1975,박시달,행복한 삶을 살게 해주세요,5,1,15
1974,고블린로켓헬멧,소원이뤄지게해주세요,5,3,36
1973,쭈의전장,불안과 두려움이 없어지길 바람,5,3,3
1972,종이장,말년의 첫사랑 아이폰 13 프로 케이스 재입고 소망,5,2,40
1971,dinggo,가족 건강 기원,5,1,31
1970,Hibyeday,굿잠,5,30,47
1969,첼시fc,불안한 삶을 끝내고 행복하게 살게 해주세요,5,9,40
1968,올림픽,사랑아 새롬해,5,1,7
1967,대배우박정민머리,하는일 잘되게 해줘잉~,5,1,10
1966,존잘맨이병건,건강,5,4,48
1965,침착한웰시코기,즐거운 봄날이 찾아오길 바람,5,3,29
1964,고향만두,평화,5,14,44
1963,2만조,로또1등,5,4,6
1962,파랑파랑,올해는 행복하자 ~230111~,5,2,34
1961,카더재혁,모두의 소원이 이루어지게 해주세요,5,1,33
1960,중경삼림,연금복권 당첨되게 해주세요!,5,1,8
1959,YONG,연애하게 해주세요,5,1,4
1958,아무말이나하는사람,로또1등당첨,5,1,33
1957,lisshoman,$_$,5,1,14
1956,쏘영무술10단,다이어트 성공 ,5,2,20
1955,열정맨,열정,5,20,34
1954,빈집털털이,감사하다,5,1,10
1953,농담곰,케이티 롤스터 우승,5,1,34
1952,천수관음괴력몬,로또 1등 기원 37일차,5,1,39
1951,밥수저,건강하고 이뿐 애기 갖게 해주세여,5,1,31
1950,제주집사,본채널에서도 이모티콘 쓰게 해주세요,5,6,40
1949,털보야좋아해,건강하게 해주세요,5,12,36
1948,대일리,살빼즈아,5,1,10
1947,유인나,주말에 비 안왔으면..,5,1,6
1946,산채로슉,부자되게해주세요,5,1,1
1945,즉시소통,내일 차 안 막히게 해주세요,5,2,12
1944,베이킹스맨,외로워잉~,5,1,13
1943,Kosmos,취업..,5,7,46
1942,앵가니웃으,1월 12일에 소원의 돌 1등으로 소원 빌게 해주세요,5,4,16
1941,아아호,사람처럼살고싶어,5,1,1
1940,노좌우,올 한해 가치 있는 삶을 살게 해주세요,5,1,1
1939,겸손한자가시장을지배한다,제발 여행중 비야오지마라,5,1,21
1938,방장침착맨,여기 올라온 소원 다 이뤄지게 해주세요 ~,5,1,10
1937,빡침펄,오늘도 무사희,5,4,24
1936,몬당몬당,행복한 생일,5,1,9
1935,잘될과학,좋은평가부탁드립니다,5,4,43
1934,대정이,핸드폰 바꾸기,5,1,22
1933,원래이런애,좋은 여행,5,42,42
1932,쏘영이1호팬,이명 사라지게 해주세요,5,1,5
1931,박정침,로또,5,1,21
1930,구구쨩,올해도 건강하게 해주세요,5,1,1
1929,법선벡터,기숙사 붙게 해주세요,5,2,4
1928,미미쨩,토요일 자격증 시험 붙게해주세여,5,1,1
1927,호로롤로로롤,오늘 면접 잘 마무리해서 감사합니다,5,2,37
1926,수원청개구리,시험합격,5,1,39
1925,킹냥이,행복을주세요,5,45,51
1924,서울시털보,좋은 컨디션,5,7,42
1923,덴버껌,제 동생을 도와주세요,5,1,25
1922,만쥬벌판,세종대 합격하게해주세요,5,5,7
1921,나방할아버지,아무것도 안해도 시간이 해결해주길~!,5,4,10
1920,구의동칸쵸,침착맨 화이팅,5,1,43
1919,봉합전문의,계속 선물로 수익만 볼수있게해주세요,5,6,42
1918,덜침착,헤응,5,8,43
1917,안산물주먹,오픽 IH 기원,5,5,7
1916,글쟁이가되고싶오,힘들지 않게 해줘,5,1,20
1915,진김욱,잠이좀 줄었으면 좋겠어요,5,1,12
1914,침아저씨,늘씬늘씬이 취업 자격증합격,5,1,25
1913,대체로맑음,"소원의돌 다 이뤄주셈 가족건강,행복,로또1등",5,2,36
1912,칵스한사발,잘풀리는 인생,5,1,51
1911,kmsj,올해는 꼭 성공하게 해주세요,5,1,2
1910,원피스개혁안,올해엔 꼭 원하는 곳 원하는 직무로 취직하게 해주세요,5,1,35
1909,더블더블U,코로나 낫고 백인 금발미녀랑 사귀게 해주세요,5,1,6
1908,축잘알침착맨,소원의돌이 합격시캬줌,5,8,39
1907,훈수훈수꾼,건강하게 해주세요,5,1,18
1906,주호밈,웨딩촬영 본식영상 sd카드에서 영문도모르게 삭제된거복구,5,1,1
1905,외다리갈매기,하고 싶은 일 잘 하게 해주세요,5,12,39
1904,이기철,머리야 빠지지마라 제바ㅏㅏㅏㄹ,5,1,3
1903,감골맨,소화 잘되게 해주세요,5,1,6
1902,살랑바람,역전재판dlc 기원,5,5,14
1901,공포의침숭이,일 잘풀리게 해줘잉,5,2,38
1900,침투부구독자,화이팅,5,1,15
1899,대인배맨,수학천재기원,5,7,38
1898,2대침착맨,쾌변,5,6,13
1897,홍개미,사랑하게 해주세요,5,1,2
1896,카이퍼,춥지 않게 해주세요,5,5,36
1895,아우꼴뵈기좋아,친구의 건강 기원,5,1,3
1894,춤봉춤봉,오디션 합격 하게 해주세요,5,1,11
1893,침펄풍철단,^________^,5,49,51
1892,병드래건,내일 2차면접 무사히 마치게 해주세요,5,1,2
1891,치므차크만,여자친구 생기게ㅜ해주세여,5,1,2
1890,어쩌라구우,5,5,5,17
1889,양갱의참맛,내일은 평온하게,5,2,26
1888,쭈호민,기도 올리기,5,53,53
1887,병건틴틴,남자친구 생기게 해주세여,5,2,39
1886,히누히트,자제하기,5,17,41
1885,숲속의호랑이,로또 1등 당첨된다!!,5,2,41
1884,워터컬러,침하하하,5,18,49
1883,서진아빠,우리 서진이 건강하고 모두들 행복하게 해주세요,5,11,46
1882,부소룡,구원,5,1,21
1881,지금밤,모두 행복해지길,5,1,2
1880,루시구시,졸업하게 해주세요,5,2,4
1879,차캐맨,로또 1등,5,38,38
1878,chris,곧 시험이에요. 잘 마무리할게요,5,1,3
1877,힐토야,시간아 멈춰라~,5,1,27
1876,연애하고싶어,행복. 고통. 책임. 겁.,5,9,48
1875,신사90,행복은 누구에게나 올 수 있는거지요,5,6,39
1874,아뭐해,로또되게 해주세요!,5,5,43
1873,패션왕,내일 성공하게 해주세요,5,4,18
1872,김똥꼬,어우 배고파,5,12,41
1871,방구공주님,20억 로또 당첨,5,5,26
1870,침착하지않은우먼,살려조,5,1,10
1869,후드안산보이,연애하게 해주세요,5,1,1
1868,달마시안,여친좀 줘잉,5,6,21
1867,김동구,감사하다,5,2,10
1866,더블비얀코,침하하하,5,3,29
1865,못생겼어요,인정받게해주세요!,5,1,8
1864,침만보,합격!,5,2,8
1863,궤도민,오히려 생각을 멈춰,5,7,51
